Deutsch_grundform,spanisch_grundform
nass,mojado
Natur,naturaleza
Natürlich,por supuesto
neben,al lado
Nebenan,al lado
neblig,con niebla
nennen,llamar
nervös,nervioso
nett,amable
Niemand,nadie
Nirgends,en ninguna parte
notieren,anotar
Notiz,nota
Notwendig,necesario
Nudel,pasta
Nützlich,útil
offen,abierto
Online,en línea
Orange,naranja
organisieren,organizar
packen,hacer la maleta
Paket,paquete
Parfüm,perfume
parken,aparcar
passen,quedar bien
Passwort,contraseña
Pferd,caballo
Pflanze,planta
Plakat,cartel
planen,planear
Portion,porción
Poster,póster
Postkarte,postal
praktisch,práctico
preiswert,barato
privat,privado
probieren,probar
Produkt,producto
Programm,programa
Projekt,proyecto
prüfen,comprobar
Pullover,jersey
putzen,limpiar
Qualität,calidad
Quiz,concurso
Radio,radio
raten,adivinar
Rathaus,ayuntamiento
Rätsel,acertijo
rechnen,calcular
Recht,tener razón
reden,hablar
reich,rico
reifen,neumático
Reihe,fila
Reinigung,limpieza
reiten,montar
renovieren,renovar
Rentner,jubilado
reservieren,reservar
Rest,resto
Rezept,receta
Rind,ternera
Ring,anillo
Rock,falda
romantisch,romántico
Rose,rosa
rücken,espalda
Rucksack,mochila
rufen,llamar
Ruhe,tranquilidad
rund,redondo
Rundgang,recorrido
sammeln,coleccionar
Sauber,limpio
sauer,ácido
Schade,lástima
Schädlich,dañino
schaffen,lograr
scharf,picante
schenken,regalar
Schere,tijeras
Schiff,barco
schimpfen,regañar
Schirm,paraguas
Schlafzimmer,dormitorio
schlimm,grave
Schloss,castillo
Schmerz,dolor
schmutzig,sucio
Schnee,nieve
schneiden,cortar
schneien,nevar
Schokolade,chocolate
schrecklich,terrible
Schriftlich,por escrito
schwach,débil
schwanger,embarazada
Schwein,cerdo
schwierig,difícil
Seife,jabón
Selbst,mismo
Sendung,programa
Service,servicio
setzen,sentar
sicher,seguro
singen,cantar
Situation,situación
Ski,esquí
Sogar,incluso
sonnig,soleado
Sonst,si no
spannend,emocionante
sparen,ahorrar
Spaß,diversión
spazieren,pasear
Spaziergang,paseo
speichern,guardar
Speisekarte,carta
sportlich,deportivo
Sportplatz,campo de deportes
Sprechstunde,horario de consulta
Stadtplan,plano de la ciudad
Star,estrella
stark,fuerte
stattfinden,tener lugar
sterben,morir
Stiefel,bota
Stift,lápiz
Stockwerk,planta
stören,molestar
Strand,playa
streiten,discutir
streng,estricto
Stress,estrés
stressig,estresante
Stück,trozo
Stuhl,silla
Super,genial
Supermarkt,supermercado
Suppe,sopa
surfen,navegar
süß,dulce
süßigkeiten,dulces
sympathisch,simpático
Tablet,tableta
Tablette,pastilla
Tafel,pizarra
Taschengeld,paga
Tasse,taza
austauschen,intercambiar
Team,equipo
teilen,compartir
teilnehmen,participar
Teller,plato
Tennis,tenis
Theater,teatro
tief,profundo
Tier,animal
Tipp,consejo
Titel,título
Topf,olla
Torte,tarta
total,totalmente
Tour,excursión
Tourist,turista
tragen,llevar
trainieren,entrenar
Training,entrenamiento
Traum,sueño
träumen,soñar
traurig,triste
trocken,seco
Tschüs,adiós
T-shirt,camiseta
typisch,típico
üben,practicar
Überall,en todas partes
übermorgen,pasado mañana
übersetzen,traducir
Übersetzung,traducción
umsteigen,hacer transbordo
Umzug,mudanza
Unbedingt,absolutamente
Unfall,accidente
unterhalten,charlar
Unterkunft,alojamiento
unternehmen,hacer
Unterschied,diferencia
untersuchen,examinar
Unterwegs,de camino
verabredet,con una cita
Veranstaltung,evento
verbieten,prohibir
vereinbaren,acordar
vergleichen,comparar
Verkehr,tráfico
Verkehrsmittel,medio de transporte
verletzen,herir
verlieben,enamorarse
verpassen,perder
verreisen,irse de viaje
verschieben,posponer
verschieden,diferente
Verspätung,retraso
versuchen,intentar
Vertrag,contrato
Vogel,pájaro
voll,lleno
Volleyball,voleibol
Vorbei,pasado
vorbereiten,preparar
vorgestern,anteayer
Vorher,antes
Vorn,delante
Vorschlag,sugerencia
Vorsichtig,con cuidado
Vorwärts,hacia adelante
wach,despierto
wagen,coche
wählen,elegir
Wahrscheinlich,probablemente
Wald,bosque
warm,caliente
Webseite,página web
wechseln,cambiar
wecken,despertar
Weg,ido
wegen,a causa de
wehtun,doler
weich,blando
Weil,porque
Welcher,cuál
Wenigstens,por lo menos
Wenn,cuando
Werkstatt,taller
Wettbewerb,concurso
Wieder,otra vez
windig,ventoso
wirklich,de verdad
Witz,chiste
witzig,gracioso
Wohnzimmer,salón
Wolke,nube
Workshop,taller
Wunsch,deseo
wünschen,desear
Wurst,salchicha
Zahn,diente
zeichnen,dibujar
zeigen,mostrar
Zeitschrift,revista
Zelt,tienda de campaña
Zentrum,centro
Zettel,nota
Zeugnis,certificado
ziehen,tirar
Ziel,meta
Zirkus,circo
Zitrone,limón
Zoo,zoo
Zuerst,primero
zuhören,escuchar
Zuletzt,por último
Zum,por ejemplo
zumachen,cerrar
Angetan,atraído
beiden,ambos
Bisher,hasta ahora
Bloß,solo
Daran,en eso
Darauf,en eso
Darüber,sobre eso
Darum,por eso
Dasselbe,lo mismo
Davon,de eso
Dazu,además
dessen,cuyo
Dran,en ello
Drauf,encima
erwarten,esperar
Falls,en caso de
Fiel,cayó
folgen,seguir
Fort,fuera
Gedanke,pensamiento
gelten,valer
geschehen,suceder
Grund,razón
Irgendwie,de alguna manera
Irgendwas,algo
Irgendwo,en algún lugar
Jemals,nunca
Jungs,chicos
Kerl,tipo
klingen,sonar
leiden,sufrir
leisten,permitirse
Liebling,querido
meisten,mayoría
Niemals,nunca
Niemandem,a nadie
Offenbar,obviamente
Perfekt,perfecto
Quatsch,tonterías
Schließlich,finalmente
Selber,mismo
Solange,mientras
Sowieso,de todos modos
spüren,sentir
Ständig,constantemente
Statt,en lugar de
Übrig,restante
verändern,cambiar
vermissen,echar de menos
wachen,vigilar
wundern,sorprenderse
Zufällig,por casualidad
Zwar,ciertamente
verandern,cambiar
Couch,sofá
Cousin,primo
Cousine,prima
Enkel,nieto
Finger,dedo
Flur,pasillo
Alkohol,alcohol
Chance,oportunidad
Fabrik,fabrik
Klinik,klinik
Krieg,krieg
Lob,lob
Lohn,lohn
Mauer,mauer
Motto,motto
Respekt,respekt
Rolle,rolle
Schuld,schuld
Sinn,sinn
Studie,studie
Technik,technik
Wand,wand
Ware,mercancía
Blut,sangre
boden,suelo
Boot,bote
Box,caja
Dach,techo
Druck,presión
Energie,energía
Erde,tierra
Erfolg,éxito
Gold,oro
Haut,piel
Hut,sombrero
Kraft,energía
Not,emergencia
Rede,discurso
regeln,reglas
Sekunde,segundo
Signal,señal
Sorge,preocupación
Stimme,voz
Tod,muerte
Verkauf,venta
Zukunft,futuro
Klasse,clase
Gewicht,peso
Ergebnis,resultado
Arbeitslos,desempleado
Arbeitsplatz,puesto de trabajo
Ausländisch,extranjero
Automatisch,automático
