Deutsch_grundform,spanisch_grundform
Astronomie,astronomía
Asyl,asilo
Asymmetrie,asimetría
Asymptotisch,asintótico
Asynchron,asíncrono
Atavismus,atavismo
Atemlosigkeit,falta de aliento
Atheismus,ateísmo
Athletik,atletismo
Atmosphäre,atmósfera
Atmosphärenchemie,química atmosférica
Atmosphärendruck,presión atmosférica
Atomisierung,atomización
Atomismus,atomismo
Atrophie,atrofia
Attraktivität,atractivo
Attraktivitätssteigerung,aumento del atractivo
Attribut,atributo
Audienz,audiencia
Auditorium,auditorio
Aufbereitung,procesamiento
Aufblähung,hinchazón
Aufbruch,partida
Aufbruchsstimmung,ambiente de partida
Aufdringlichkeit,importunidad
Aufenthalt,estancia
Auferstehung,resurrección
Auffassung,concepción
Aufforderung,exhortación
Aufführung,representación
Aufgabe,tarea
Aufgabenwechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio de tareas
Aufgebot,convocatoria
Aufhebung,anulación
Aufklärung,ilustración
Aufklärungsauftrag,mandato esclarecedor
Aufklärungsverantwortung,responsabilidad ilustrativa
Aufmerksamkeit,atención
Aufmerksamkeitsdefizit,déficit de atención
Aufnahme,recepción
Aufopferung,sacrificio
Aufprall,impacto
Aufregung,agitación
Aufrichtigkeit,sinceridad
Aufruhr,revuelta
Aufschwung,auge
Aufsicht,supervisión
Aufstand,levantamiento
Aufstieg,ascenso
Auftrag,encargo
Aufwand,gasto
Aufwärmung,calentamiento
Aufzeichnung,registro
Augenhöhle,cuenca del ojo
Augenmaß,estimación visual
Augenschein,apariencia
Augenzeuge,testigo ocular
Ausarbeitung,elaboración
Ausbeute,rendimiento
Ausbildungsauftrag,mandato formativo
Ausdauer,resistencia
Ausdehnung,extensión
Ausdruck,expresión
Ausdrucksmöglichkeit,posibilidad de expresión
Auseinandersetzung,confrontación
Ausflug,excursión
Ausführung,ejecución
Ausgabe,gasto
Ausgangspunkt,punto de partida
Ausgewogenheitszuwachsbereitschaftskrisesoziologie,sociología de crisis de disposición al crecimiento equilibrado
Ausgleich,compensación
Ausgleichsauftrag,mandato compensatorio
Ausgrenzung,exclusión
Aushilfe,ayuda temporal
Aushändigung,entrega
Auskunft,información
Auslage,escaparate
Ausland,extranjero
Auslegung,interpretación
Auslöschung,extinción
Ausmaß,dimensión
Ausnahme,excepción
Ausnutzung,explotación
Ausrichtung,orientación
Ausrüstung,equipamiento
Aussage,declaración
Ausschlag,erupción
Ausschließung,exclusión
Ausschnitt,fragmento
aussehen,apariencia
Aussprache,pronunciación
Ausstattung,equipamiento
Ausstieg,salida
Ausstrahlung,radiación
Austausch,intercambio
Austauschbarkeit,intercambiabilidad
Austerität,austeridad
Austreibung,expulsión
Auswahl,selección
Auswanderer,emigrante
Ausweis,documento de identidad
Auswirkung,impacto
Auszahlung,pago
Auszeichnung,distinción
Authentizität,autenticidad
Authentizitätszuwachsbereitschaftskrisesoziologie,sociología de crisis de disposición al crecimiento auténtico
Autoaggression,autoagresión
Autobiographie,autobiografía
Autokratie,autocracia
Automat,máquina automática
Automatisierungssoziologie,sociología de la automatización
Autonomie,autonomía
autonomiebestreben,aspiración de autonomía
Autonomiekrisesoziologie,sociología de crisis de autonomía
Autonomiesoziologie,sociología de la autonomía
Autopilot,piloto automático
Autorität,autoridad
Autoritätshörigkeit,obediencia a la autoridad
Autoritätssoziologie,sociología de la autoridad
Außenseiter,marginado
Avantgarde,vanguardia
Axiom,axioma
Bachelorarbeit,trabajo de fin de grado
Bagatellisierung,banalización
Bakteriologie,bacteriología
Balance,equilibrio
Balkanisierung,balcanización
Balkon,balcón
Ballast,lastre
Bandbreite,ancho de banda
Bankrott,bancarrota
Barbarei,barbarie
Barbarismus,barbarismo
Barmherzigkeit,compasión
Barriere,barrera
Barrikade,barricada
Basis,base
Basisdemokratie,democracia de base
Bastard,bastardo
Battalion,batallón
Batterie,batería
Bauwerk,construcción
Beachtung,atención
Beamter,funcionario
Beanspruchung,exigencia
Beanstandung,objeción
Bearbeitung,procesamiento
Beatmung,ventilación
Beaufsichtigung,supervisión
beben,temblor
Bedarfsgerechtigkeit,justicia según necesidades
Bedarfsorientierung,orientación a las necesidades
bedenken,recelos
Bedeutung,significado
Bedienung,servicio
Bedrohung,amenaza
Bedrängnis,apuro
Bedürfnis,necesidad
Bedürfnishierarchie,jerarquía de necesidades
Bedürfnissoziologie,sociología de necesidades
Beeinträchtigung,deterioro
Beendigung,terminación
Beerdigung,entierro
Befragung,interrogatorio
Befreiung,liberación
Befreiungssoziologie,sociología de la liberación
Befriedigung,satisfacción
Befruchlng,fecundación
Befugnis,autorización
Befähigung,capacitación
Beförderung,promoción
Begabung,dotación
Begabungsentfaltung,desarrollo de la dotación
Begabungsentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo de la dotación
Begabungssoziologie,sociología de la dotación
Begegnung,encuentro
begehren,apetencia
Begeisterung,entusiasmo
Begleitungsauftrag,mandato de acompañamiento
Begleitungssoziologie,sociología del acompañamiento
Begrenzung,limitación
Begriffsverwirrung,confusión conceptual
Begründung,fundamentación
Begrüßung,saludo
Behaglichkeit,comodidad
Behandlung,tratamiento
Beharrlichkeit,perseverancia
Behauptung,afirmación
Behaviorismus,conductismo
Behelf,recurso
Beherrschung,dominio
Behindertenrechte,derechos de personas con discapacidad
Behinderung,impedimento
Behinderungssoziologie,sociología de la discapacidad
Behörde,autoridad
Beifall,aplauso
Beilage,suplemento
Beileid,pésame
Beiläufigkeit,casualidad
Beispiel,ejemplo
Beistand,asistencia
Beitrag,contribución
Beitragsgerechtigkeit,justicia contributiva
Beitritt,adhesión
Bekanntmachung,proclamación
Bekehrung,conversión
Bekenntnis,confesión
Bekümmernis,pesar
Belagerung,sitio
Belang,importancia
Belastbarkeit,resistencia
Belastung,carga
Belebung,vivificación
Belehrung,instrucción
Beleidigung,insulto
Beleuchtung,iluminación
Beliebigkeit,arbitrariedad
Belieferung,suministro
Belletristik,literatura
Belohnung,recompensa
Belüftung,ventilación
Bemerkung,observación
Bemühung,esfuerzo
Benachrichtigung,notificación
Benachteiligung,desventaja
Benchmarks,referencias
Benefiz,beneficio
benehmen,comportamiento
Benennung,denominación
Benotung,calificación
Benutzer,usuario
Beobachtung,observación
Beobachtungsmethode,método de observación
Bequemlichkeit,comodidad
Beratung,asesoramiento
Beratungsauftrag,mandato consultivo
Beratungssoziologie,sociología del asesoramiento
Berechenbarkeit,previsibilidad
Berechnung,cálculo
Berechtigung,autorización
Bereicherung,enriquecimiento
Bereinigung,depuración
Bereitschaft,disposición
Bereitung,preparación
Bergbau,minería
Bergung,salvamento
Bericht,informe
Berichterstattung,información
Berichtigung,corrección
Beruf,profesión
Berufsbewusstsein,conciencia profesional
Berufsethos,ética profesional
Berufsidentität,identidad profesional
Berufslaufbahn,trayectoria profesional
Berufssoziologie,sociología profesional
Berufswechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio profesional
Berufszufriedenheit,satisfacción profesional
Berufung,apelación
Beruhigung,tranquilización
Berührung,contacto
Beschaffenheit,naturaleza
Beschaffung,adquisición
Bescheid,información
Bescheidenheit,modestia
Bescheinigung,certificado
Beschimpfung,insulto
Beschlagnahme,confiscación
Beschleunigung,aceleración
Beschleunigungssoziologie,sociología de la aceleración
Beschreibung,descripción
Beschränkung,restricción
Beschwerde,queja
Beschwörung,conjuro
Beschädigung,daño
Beschäftigung,ocupación
Beseitigung,eliminación
Besessenheit,obsesión
Besetzung,ocupación
Besichtigung,visita
Besiedelung,colonización
Besiedlung,poblamiento
Besinnung,reflexión
Besitz,posesión
Besitzerin,propietaria
Besoldung,sueldo
Besonderheit,particularidad
Besonnenheit,ponderación
Besorgnis,preocupación
Besorgung,gestión
Besprechung,reunión
Besserung,mejora
Bestand,existencia
Bestandteile,componentes
Bestattung,entierro
Bestattungssoziologie,sociología funeraria
Bestechlichkeit,corruptibilidad
Bestechung,soborno
bestehen,existencia
Bestellung,pedido
Bestimmung,destino
Bestrafung,castigo
bestreben,esfuerzo
Bestreitung,negación
Beständigkeit,constancia
Beständigkeitszuwachsbereitschaftskrisesoziologie,sociología de crisis de disposición al crecimiento constante
Bestätigung,confirmación
Bestürzung,consternación
Besuch,visita
Beteiligung,participación
Betrachtung,contemplación
Betrag,importe
Betrauung,encargo
Betreffend,concerniente
betreten,pisada
Betreuung,atención
Betreuungsauftrag,mandato de cuidado
Betreuungssoziologie,sociología del cuidado
Betrieb,empresa
Betriebssoziologie,sociología empresarial
Betroffenheit,consternación
Betrug,fraude
Bettler,mendigo
Betätigung,actividad
Betäubung,anestesia
Beugung,flexión
Beunruhigung,intranquilidad
Beunruhigungssoziologie,sociología de la inquietud
Beurlaubung,permiso
Beurteilung,evaluación
Beute,botín
Bevollmächtigung,autorización
Bevorratung,almacenamiento
Bevorzugung,favoritismo
Bevölkerung,población
Bewachung,vigilancia
Bewaffnung,armamento
Bewahrung,preservación
Bewahrungsauftrag,mandato preservativo
Bewandtnis,circunstancia
Beweggrund,motivo
Beweglichkeit,movilidad
Bewegung,movimiento
Bewegungssoziologie,sociología de movimientos
Beweis,prueba
Beweisführung,argumentación
Bewerbung,solicitud
Bewertung,valoración
Bewertungsmaßstab,criterio de evaluación
Bewertungsänderungsbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio evaluativo
Bewilligung,concesión
Bewirtschaftung,explotación
Bewirtung,atención
Bewohner,habitante
Bewunderung,admiración
Bewussteinszuwachsbereitschaftskrisesoziologie,sociología de crisis de disposición al crecimiento de la conciencia
Bewusstlosigkeit,inconsciencia
Bewusstsein,conciencia
Bewusstseinsbildung,formación de conciencia
Bewusstseinsentwicklung,desarrollo de conciencia
Bewusstseinsentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo de la conciencia
Bewusstseinserweiterung,ampliación de conciencia
Bewusstseinswandel,cambio de conciencia
Bewusstseinswandelbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio de conciencia
Bewußtseinsforschung,investigación de la conciencia
Bewährung,prueba
Bewältigung,superación
Bewältigungsfähigkeitskrisesoziologie,sociología de crisis de capacidad de afrontamiento
Bewältigungssoziologie,sociología del afrontamiento
Bewässerung,irrigación
Bezahlung,pago
Bezeichnung,denominación
Beziehung,relación
Beziehungsentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo relacional
Beziehungsfähigkeitsentfaltung,desarrollo de la capacidad relacional
Beziehungsgestaltungsbereitschaftskrisesoziologie,sociología de crisis de disposición a la configuración relacional
Bezirk,distrito
Bezug,referencia
Bezugnahme,referencia
Bibelstelle,pasaje bíblico
Bibliographie,bibliografía
Bibliothek,biblioteca
Biegung,curvatura
Bigamie,bigamia
Bigotterie,beatería
Bilateralität,bilateralidad
Bildhauerei,escultura
Bildung,educación
Bildungsauftrag,mandato educativo
Bildungsdurst,sed de educación
Bildungsgerechtigkeit,justicia educativa
Bildungshunger,hambre de educación
Bildungsperspektive,perspectiva educativa
Bildungssoziologie,sociología de la educación
Bildungsverantwortung,responsabilidad educativa
Billigung,aprobación
Bindung,vínculo
Bindungsentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo vincular
Binnenwirtschaft,economía interna
Biochemie,bioquímica
Biodiversität,biodiversidad
Biografieperspektive,perspectiva biográfica
Biografiesoziologie,sociología biográfica
Biographie,biografía
Biologie,biología
Biometrisch,biométrico
Biotechnologie,biotecnología
Biotop,biotopo
Bipolarität,bipolaridad
Bitte,petición
Bitterkeit,amargura
Bivalenz,bivalencia
Blasiertheit,actitud blasé
Blasphemie,blasfemia
Blickfang,reclamo visual
Blickfelderweiterung,ampliación del campo visual
Blickpunkt,punto de mira
Blockierung,bloqueo
Blutdruck,presión arterial
Blöße,desnudez
Blütezeit,período de florecimiento
boden,suelo
Bodenschutz,protección del suelo
Bohrung,perforación
Bombenangriff,ataque con bomba
Botschaft,mensaje
Bourgeoisie,burguesía
Boykottierung,boicot
Boykottsoziologie,sociología del boicot
Brandmarkung,estigmatización
Brauchtumssoziologie,sociología de las costumbres
Bravour,bravura
Brechung,refracción
Breite,anchura
Bremsung,frenado
Brennerei,destilería
Brennpunkt,foco
Briefwechsel,correspondencia
Brillanz,brillantez
Bronchitis,bronquitis
Bruchstück,fragmento
Brutalität,brutalidad
Bräutigam,novio
Brüderlichkeit,fraternidad
Brüskierung,desplante
Buchführung,contabilidad
Buchstabe,letra
Buddhismus,budismo
buhlen,cortejar
Burnoutsoziologie,sociología del agotamiento
Byzantinismus,bizantinismo
Börse,bolsa
Bücherverbrennung,quema de libros
Bündnis,alianza
Bürde,carga
Bürgerauftrag,mandato ciudadano
Bürgerbeteiligung,participación ciudadana
Bürgerbeteiligungsoziologie,sociología de participación ciudadana
Bürgerfähigkeitsentfaltung,desarrollo de la capacidad ciudadana
Bürgerinitialativsoziologie,sociología de iniciativas ciudadanas
Bürgerkrieg,guerra civil
Bürgermeister,alcalde
Bürgschaft,fianza
Büro,oficina
Bürokratie,burocracia
Bürokratiesoziologie,sociología burocrática
Calvinismus,calvinismo
Chancenfairness,equidad de oportunidades
Chancengleichheit,igualdad de oportunidades
Chancengleichheitsauftrag,mandato de igualdad de oportunidades
Chancenorientierung,orientación a oportunidades
Charakterbildung,formación del carácter
Charaktereigenschaft,rasgo de carácter
Charakterentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo del carácter
Charakterisierung,caracterización
Charakteristikum,característica
Charisma,carisma
Charismatisch,carismático
Chauvinismus,chovinismo
Chemie,química
Chemikaliensicherheit,seguridad química
Chirurgie,cirugía
Choreographie,coreografía
Christentum,cristianismo
Chronisch,crónico
Chronologie,cronología
Clan,clan
Cleantech,tecnología limpia
Coachingauftrag,mandato de coaching
Coachingsoziologie,sociología del coaching
Collage,collage
Comeback,regreso
Computer,computadora
Computerisierung,computerización
Computerlinguistik,lingüística computacional
Connoisseur,conocedor
Copyright,derechos de autor
Coronavirus,coronavirus
Cortison,cortisona
Courage,coraje
Crescendo,crescendo
Crossdisziplinarität,disciplinariedad cruzada
Curriculum,currículo
Cybernetics,cibernética
Cybersoziologie,cibersociología
Dachverband,organización paraguas
Dampf,vapor
Dankbarkeit,gratitud
Darlegung,exposición
Darstellung,representación
Darwinismus,darwinismo
Daseinsvorsorge,provisión de servicios básicos
Daseinszweck,propósito de existencia
Database,base de datos
Datensoziologie,sociología de los datos
Datenverarbeitung,procesamiento de datos
Dauerarbeit,trabajo permanente
Debatte,debate
Debilität,debilidad mental
Decadence,decadencia
Deckung,cobertura
Defeatismus,derrotismo
Defizit,déficit
Degradierung,degradación
Degrowth,decrecimiento
Dekadenz,decadencia
Dekarbonisierung,descarbonización
Dekonstruktionsansatz,enfoque deconstructivo
Delinquenz,delincuencia
Demagogismus,demagogia
Dementia,demencia
Demographie,demografía
Demokratie,democracia
Demokratieauftrag,mandato democrático
Demokratiedefizit,déficit democrático
Demokratiefähigkeitsentfaltung,desarrollo de la capacidad democrática
Demokratieperspektive,perspectiva democrática
Demokratiesoziologie,sociología democrática
Demokratisierung,democratización
Demonstrationssoziologie,sociología de manifestaciones
Demontage,desmantelamiento
Demut,humildad
Demütigung,humillación
Denationalisierung,desnacionalización
Dendritisch,dendrítico
Denkweise,forma de pensar
Denkweisewechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio del modo de pensar
Dependenz,dependencia
Depression,depresión
Depressionsoziologie,sociología de la depresión
Deputierung,diputación
Deregulierung,desregulación
Derivativ,derivado
Designsoziologie,sociología del diseño
Deskriptiv,descriptivo
Despotismus,despotismo
Destabilisierung,desestabilización
Destruktivität,destructividad
Detailierung,detallado
Detailliertheit,detalle
Determinismus,determinismo
Deutung,interpretación
Devianzsoziologie,sociología de la desviación
Dezentralisierung,descentralización
Diabetes,diabetes
Diagnose,diagnóstico
Diagnosestellung,diagnóstico
Dialekt,dialecto
Dialektik,dialéctica
Dialog,diálogo
Dialogfähigkeitsentfaltung,desarrollo de la capacidad dialógica
Diaspora,diáspora
Diasporasoziologie,sociología de la diáspora
Dichtung,poesía
Didaktik,didáctica
Didaktisch,didáctico
Diebstahl,robo
Dienst,servicio
Dienstleistung,prestación de servicios
Dienstleistungsauftrag,mandato de prestación de servicios
Differentialrechnung,cálculo diferencial
Differenz,diferencia
Differenzierung,diferenciación
Differenzierungsbereitschaftskrisesoziologie,sociología de crisis de disposición a la diferenciación
Diffusion,difusión
Diffusionssoziologie,sociología de la difusión
Diffusität,difusión
Digitalgerechtigkeit,justicia digital
Digitaliesierung,digitalización
Digitalisierung,digitalización
Digitalisierungsorientierung,orientación digital
Digitalisierungssoziologie,sociología de la digitalización
Digitalsoziologie,sociología digital
Digitalverantwortung,responsabilidad digital
Dignität,dignidad
Dilemma,dilema
Dimension,dimensión
dimensionen,dimensiones
Diminutiv,diminutivo
Diplomatie,diplomacia
Direktheit,franqueza
Diskontinuität,discontinuidad
Diskrepanz,discrepancia
Diskriminierung,discriminación
Diskriminierungsmechanismus,mecanismo de discriminación
Diskurs,discurso
Diskursanalyse,análisis del discurso
Diskursfähigkeitsentfaltung,desarrollo de la capacidad discursiva
Diskursperspektive,perspectiva discursiva
Diskussion,discusión
Diskussionsbeitrag,contribución al debate
Disparität,disparidad
Dissens,disenso
Dissidenz,disidencia
Dissertation,tesis doctoral
Distanz,distancia
Disziplinsoziologie,sociología disciplinaria
Diversität,diversidad
Diversitätsauftrag,mandato de diversidad
Diversitätsmanagement,gestión de la diversidad
Dividende,dividendo
Division,división
Dogmatisch,dogmático
Dogmatismus,dogmatismo
Dolmetscher,intérprete
Dolmetscherauftrag,mandato interpretativo
Domestizierung,domesticación
Dominanz,dominancia
Dopamin,dopamina
Doppeldeutigkeit,ambigüedad
Doppelmoral,doble moral
Dorfsoziologie,sociología del pueblo
Dosierung,dosificación
Dramatisierung,dramatización
Drang,urgencia
Drastisch,drástico
Droge,droga
Drogismus,drogadicción
Drohung,amenaza
Druck,presión
Druckerei,imprenta
Dualismus,dualismo
Dualität,dualidad
Duldung,tolerancia
Durchbruch,avance
Durchdringung,penetración
Durchführung,realización
Durchschnitt,promedio
Durchschnittlichkeit,mediocridad
Durchsetzung,imposición
Durchsetzungsfähigkeit,capacidad de imposición
Durchsetzungskraft,capacidad de imposición
Dynamik,dinámica
Dystopie,distopía
Dystrophie,distrofia
Dämmerung,crepúsculo
Dürre,sequía
Ebbe,marea baja
Ebenbürtigkeit,igualdad
Ebene,nivel
ebenen,niveles
Echo,eco
Eckpfeiler,pilar
Edelstein,piedra preciosa
Effekt,efecto
Effektivität,efectividad
Effektivitätsauftrag,mandato de efectividad
Effektivitätsorientierung,orientación a la efectividad
Effektivitätsprinzip,principio de efectividad
Effizienz,eficiencia
Effizienzauftrag,mandato de eficiencia
Effizienzorientierung,orientación a la eficiencia
Effizienzprinzip,principio de eficiencia
Effizienzsoziologie,sociología de la eficiencia
Egalitarismus,igualitarismo
Egalität,igualdad
Egoismus,egoísmo
Egozentrismus,egocentrismo
Ehrenamtlichkeit,voluntariado
Ehrenamtsoziologie,sociología del voluntariado
Ehrenrettung,rehabilitación
Ehrerbietung,veneración
Ehrgeiz,ambición
Ehrlichkeit,honestidad
Eigenart,peculiaridad
Eigeninitiative,iniciativa propia
Eigennutz,interés propio
Eigenschaft,propiedad
Eigenständigkeit,independencia
Eigentum,propiedad
Eigenverantwortung,responsabilidad propia
Eile,prisa
Einbahnstraße,calle de sentido único
Einbildungskraft,facultad imaginativa
Einblick,perspectiva
Einbürgerung,naturalización
Eindruck,impresión
Eindämmung,contención
Einfall,idea
Einfallsreichtum,inventiva
Einfluss,influencia
Einführung,introducción
Eingabe,solicitud
Eingang,entrada
Eingliederung,integración
Eingliederungsauftrag,mandato de inserción
Eingriff,intervención
Einhaltung,cumplimiento
Einheit,unidad
Einheitlichkeit,uniformidad
Einheitszuwachsbereitschaftskrisesoziologie,sociología de crisis de disposición al crecimiento unitario
Einigung,acuerdo
Einkauf,compra
einkommen,ingresos
Einkommensgerechtigkeit,justicia de ingresos
Einladung,invitación
Einleitung,introducción
Einlieferung,entrega
Einmaligkeit,singularidad
Einmischung,interferencia
Einnahme,ingreso
Einrichtung,institución
Einsamkeitssoziologie,sociología de la soledad
Einsatz,empleo
Einschreibung,inscripción
Einschränkung,limitación
Einschätzung,evaluación
Einschüchterung,intimidación
Einsicht,comprensión
Einsichtszuwachsbereitschaftskrisesoziologie,sociología de crisis de disposición al crecimiento perspicaz
Einsiedler,ermitaño
Einspruch,objeción
Einstellung,actitud
Einstellungswandelbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio actitudinal
Einteilung,división
