Deutsch_grundform,spanisch_grundform
Bündnis,alianza
Bürgerforum,foro ciudadano
Bürgermeister,alcalde
CTU,CTU
Cal,Cal
Cameron,Cameron
Campingplatz,campamento
Caprica,Caprica
Caroline,Caroline
Carsharing,compartir coche
Carson,Carson
Champion,campeón
Chan,Chan
Charlie,Charlie
Charlotte,Charlotte
Cheng,Cheng
Cheyenne,Cheyenne
Chips,papas fritas
Chloe,Chloe
Chris,Chris
Christian,Christian
Christina,Christina
Christopher,Christopher
Chuck,Chuck
Ciao,ciao
Claire,Claire
Clan,clan
Clark,Clark
Clyde,Clyde
Cody,Cody
Cohen,Cohen
Cola,gaseosa
Collier,Collier
Colonel,coronel
Community,comunidad
Connor,Connor
County,condado
Craig,Craig
DC,DC
DER,el
DES,del
DVD,DVD
Daddy,papá
Dallas,Dallas
Damaja,Damaja
Damen,señora
Dan,Dan
Darin,ahí
Darling,querido
Das,ese
Dauerstress,estrés crónico
David,David
Davis,Davis
Dawn,amanecer
De,de
Deadline,fecha límite
Dealer,vendedor
Debbie,Debbie
Deinen,tu
Delegation,delegación
Dem,al
Demokratie,democracia
Den,el
Denk,pensar
Denke,pensar
Denkst,pensar
Dennoch,aún
Der,el
Des,del
Deswegen,por eso
Detective,detective
Diana,Diana
Diane,Diane
Die,la
Diebe,ladrón
Diego,Diego
Dienste,servicio
Diese,esta
Dinge,cosa
Direktorin,directora
Do,sino
Doctor,doctor
Dodge,dodge
Dollar,dólar
Don,don
Donald,Donald
Dorothy,Dorothy
Doug,Doug
Dr,Dr.
Drache,dragón
Dreckskerl,cerdo
Drei,tres
Drew,Drew
Drink,bebida
Drinks,bebidas
Drumherum,alrededor
Du,tú
Dylan,Dylan
E,e
EIN,uno
ES,él/ella
Earl,Earl
Ebene,nivel
Echo,eco
Eddie,Eddie
Edgar,Edgar
Effizienz,eficiencia
Egal,indiferente
Ehepartner,pareja
Ehre,honor
Ehrlich,Honesto
Eier,huevos
Eigentum,propiedad
Eimer,cubo
Eine,una
Einen,un
Eines,uno
Einheit,unidad
Einige,algunos
Eins,uno
Einsamkeit,soledad
Einsatzort,lugar de despliegue
Einsicht,perspicacia
Einspruch,objeción
Einwanderung,inmigración
Einwohnerzahl,población residente
Einzelheiten,detalles
Einzige,única
Eisen,hierro
Elefanten,elefantes
Ellen,Ellen
Ellie,Ellie
Ente,pato
Entscheidung treffen,tomar decisión
Entschuldige,disculpa
Entwicklungshilfe,ayuda al desarrollo
Erdbeben,terremoto
Erden,tierras
Erfahrungen,experiencias
Erfüllung,cumplimiento
Erinnerst,recuerdas
Erinnert,recuerda
Erinnerungen,recuerdos
Erkenntnisse liefern,proporcionar conocimientos
Erkrankung,enfermedad
Ermittlungen,investigación
Erreichbarkeit,accesibilidad
Erste,primera
Erwerbstätige,trabajadores
Erziehungswissenschaft,ciencia de la educación
Erziehungswissenschaftler,educador
Esel,burro
Ethik,ética
Etiche,etiqueta
Euch,vosotros
Eure,vuestra
Eurem,vuestro
Evelyn,Evelyn
Ewigkeit,eternidad
Ex,ex
ExFrau,ex esposa
Experiment abbrechen,interrumpir un experimento
Ey,ojo
FBI,FBI
Fachkraft,profesional calificado
Fahr,viaje
Fahrstuhl,ascensor
Faith,fe
Falle,trampa
Falsche,falsa
Familienbetrieb,negocio familiar
Farik,Farik
Fawlty,Fawlty
Feder,pluma
Festhalten,sostener
Finale,final
Finanzierung,financiación
Fingern,dedos
Finsternis,oscuridad
Five,cinco
Flagge,bandera
Flammen,llamas
Flaschen,botellas
Fliege,mosca
Flugverkehr,transporte aéreo
Flugzeuge,aviones
Fokus legen auf,centrar la atención en
Folgt,sigue
Football,fútbol
Ford,Ford
Forderung stellen,plantear una demanda
Forderungen,demandas
Fortbewegungsmittel,medio de transporte
Fortschritte,progresos
Frank,frank
Franzosen,franceses
Freak,freak
Freddy,freddy
Freizeitgestaltung,organización del tiempo libre
Fremde,extraño
Fremder,extraño
Frodo,frodo
Front,frente
Frosch,rana
Fu,fu
Funktionalismus,funcionalismo
Führungsposition,cargo directivo
Gab,dio
Gabriel,gabriel
Galaxie,galaxia
Garza,garza
Gastgeber,anfitrión
Gate,puerta
Gauner,estafador
Gebet,oración
Geburtsrate,tasa de natalidad
Gefahrensignal,señal de peligro
Gefahrzone,zona de peligro
Gefangene,prisionero
Gefangener,prisionero
Gefühl geben,dar la impresión
Geh,ve
Geheimdienst,servicio secreto
Geht,va
Geldanlage,inversión
Geliebte,amada
Gemeinde,comunidad
Gemeindezusammenhalt,cohesión comunitaria
Gemeinschaftssinn,sentido de comunidad
Gemischt,mixto
Gene,genes
Genosse,camarada
George,jorge
Gerede,rumor
German,alemán
Gerne,gusto
Gesang,canto
Geschafft,logrado
Geschäftspartner,socio comercial
Geschäftstätigkeit,actividad comercial
Gestalt,figura
Gestank,hedor
Gesundheitswesen,sistema de salud
Gesundheitszustand,estado de salud
Gewinn,ganancia
Gewinnung,obtención
Gewährleistung,garantía
Gib,da
Gibst,das
Gibt,da
Glaube,creencia
Glaubst,crees
Glen,glen
Gloria,gloria
Gotham,gotham
Gottes,dios
Graf,conde
Graham,graham
Grand,gran
Gratuliere,felicito
Gray,gris
Greta,greta
Gretchen,gretchen
Grey,gris
Grundbedürfnis,necesidad básica
Gruppen,grupos
Guck,mira
Gute,bien
Guten,buenos
Gutes,bueno
H,h
Haare,cabellos
Hab,hab
Habe,tengo
Habt,tenéis
Hahn,gallo
Hal,mitad
Halt,detén
Haltet,detened
Han,han
Handlungsfähigkeit,capacidad de acción
Handlungstrang,hilo argumental
Handwerker,artesano
Hans,hans
Harold,harold
Harry,harry
Hast,tienes
Hat,tiene
Hau,golpea
Haufen,monto
Hauptsache,principal
Hause,casa
Hausmeister,conserje
Hayes,hayes
He,él
Heb,eleva
Hector,Héctor
Heilung,curación
Heimatland,país natal
Heirat,matrimonio
Helikopter,helicóptero
Helm,casco
Henderson,Henderson
Henker,verdugo
Henry,Enrique
Herbert,Herbert
Heroin,heroína
Herren,señores
Herrn,señor
Herzen,corazones
Herzens,corazón
Hi,hola
Hickey,chupetón
Hierher,aquí
Hilf,ayuda
Hinterfragen,cuestionar
Hinterlassen,dejar
Hintern,trasero
Hinweise,indicios
Hitomi,Hitomi
Hm,hm
Ho,ho
Hochdruck,alta presión
Hochfahren,arrancar
Hochladen,cargar
Hochsaison,temporada alta
Hochtechnisiert,altamente tecnificado
Hochzeitstag,aniversario de boda
Hodes,Hodes
Hol,toma
Home Office,trabajo desde casa
Homeoffice-Tag,día de home office
Homer,Homer
Hotels,hoteles
Houston,Houston
Hugh,Hugh
Hunde,perros
Hunderte,centenares
Huo,Huo
Hurley,Hurley
Hurra,hurrah
Hyunseo,Hyunseo
Höflichkeitsregel,regla de cortesía
Höhe,altura
Hütte,cabaña
I,yo
Idioten,idiotas
Ihnen,ustedes
Ihrem,su
Ihren,sus
Ihrer,suya
Im,en el
Immerhin,al menos
Indem,mientras
Industrie- und Handelskammer,cámara de industria y comercio
Industriezweig,sector industrial
Infektion,infección
Inhalt,contenido
Inklusion,inclusión
Inneren,interior
Inspektion,inspección
Instandhaltung,mantenimiento
Institution,institución
Integration,integración
Interaktion,interacción
Interview führen,conducir una entrevista
Irak,Irak
Irgendein,algún
Irrtum,error
Isaac,Isaac
Isabel,Isabel
Island,Islandia
Ist,es
Italien,Italia
Jack,Jack
Jahre,años
Jahren,años
Jake,Jake
James,James
Jamie,Jamie
Japaner,japonés
Jawohl,ciertamente
Jedenfalls,de todos modos
Jedi,jedi
Jeff,Jeff
Jemanden,alguien
Jericho,Jericó
Jersey,Jersey
Jessica,Jessica
Jesus,Jesús
Jill,Jill
Jim,Jim
Jimmy,Jimmy
Joan,Joan
Jobportal,portal de empleo
Joe,Joe
Joel,Joel
Joey,Joey
John,Juan
Johnny,Johnny
Jon,Jón
Joy,alegría
Juan,Juan
Jude,judío
Judy,Judy
Juliet,Julieta
Jungen,chicos
Juni,junio
Junta,junta
Justin,Justin
Kameraden,camaradas
Kane,Kane
Kang,Kang
Kann,puede
Kannst,puedes
Kanone,cañón
Kansas,Kansas
Kapazität,capacidad
Karre,coche
Karriere,carrera
Karten,tarjetas
Kat,gato
Kate,Kate
Kauf,compra
Kaugummi,chicle
Kay,Kay
Keine,ninguna
Keiner,ninguno
Keith,Keith
Kellner,camarero
Kelso,Kelso
Kennedy,Kennedy
Kennst,conoces
Kennt,conoce
Kent,Kent
Kern,núcleo
Kerzen,velas
Kid,niño
Kim,Kim
Kinderbetreuung,cuidado infantil
Kinderbetreuungseinrichtung,centro de cuidado infantil
Kindern,niños
Kissen,almohada
Kisten,cajas
Klappe,tapa
Kleine,pequeña
Kleiner,pequeño
Klienten,clientes
Klimaschutz,protección climática
Klinge,cuchilla
Klingt,suena
Kloster,monasterio
Knast,cárcel
Kofferraum,maletero
Kokain,cocaína
Kollektiv,colectivo
Kollision,colisión
Kompensation,compensación
Kompetenz-Sharing,compartición de competencias
Konflikt,conflicto
Konsum,consumo
Kontrolle,control
Kostenfaktor,costo factor
Kraftaufwand,esfuerzo físico
Krankenversicherung,seguro médico
Kundin,clienta
Kunstschaffende,creador de arte
Kunststadt,ciudad del arte
Kunstszene,escena artística
Kur,cura
Lebensqualität,calidad de vida
Lebensstandard,nivel de vida
Lebensstil,estilo de vida
Lebenswandel,cambio de vida
Leistung,desempeño
Lernprozess,proceso de aprendizaje
Luftverschmutzung,contaminación del aire
Lust bekommen auf,tener ganas de
Lärm,ruido
Lärmbelästigung,contaminación acústica
Lärmemission,emisión de ruido
Lärmpegel,nivel de ruido
Lärmschutz,protección acústica
Lösungsansatz,enfoque de solución
Lösungsansätze,soluciones
Mangel,falta
Manie,manía
Marktsegment,segmento de mercado
Materie,materia
Medienkompetenz,competencia mediática
Meeresspiegel,nivel del mar
Methode,método
Mitarbeiterführung,gestión de empleados
Mitarbeiterin,empleada
Mitarbeiterschulung,formación de empleados
Mitgliedschaft,afiliación
Mobilität,movilidad
Mobilitätswende,giro en la movilidad
Moses,Moisés
Musiker,músico
Muss,debe
Nachbarschaft,vecindario
Nachdem,después de que
Nachwirkung,efecto posterior
Nahrung,alimento
Nancy,Nancy
Naomi,Noemí
Narbe,cicatriz
Narben,cicatrices
Narren,locos
Narusegawa,Narusegawa
Navigationssystem,sistema de navegación
Negativ,negativo
Neil,Neil
Netzwerk,red
Nick,Nick
Nicky,Nicky
Nikki,Nikki
No,no
Noah,Noé
Notaufnahme,urgencias
Noten,notas
Nottingham,Nottingham
November,noviembre
Nudeln,fideos
Nun,ahora
Nutzen,beneficio
Nutzerkonto,cuenta de usuario
O,oh
OK,ok
Ob,si
Objekt,objeto
Obwohl,aunque
Ofen,horno
Oh,oh
Ohh,oh
Oktober,octubre
Omar,Omar
One,uno
Online-Zeit,tiempo en línea
Ori,Ori
Orte,lugares
Orten,lugares
Oskar,Óscar
Over,sobre
Oz,Oz
Pack,paquete
Panama,Panamá
Paps,papá
Papst,papa
Paris,París
Passagiere,pasajeros
Pat,Pat
Patient,paciente
Patienten,pacientes
Paul,Pablo
Paula,Paula
Peggy,Peggy
Pendler,commuter
Personal,personal
Personalverantwortliche,responsable de personal
Peter,Pedro
Petrelli,Petrelli
Pfad,camino
Pfannkuchen,tortitas
Pflanzen,plantas
Pflegeheim,centro de cuidado
Pflegepersonal,personal de cuidado
Phoebe,Febe
Picard,Picard
Pierre,Pierre
Piraten,piratas
Planeten,planetas
Planung,planificación
Platten,platos
Plattform,plataforma
Politiker,político
Polizist,policía
Polly,Polly
Positionierung,posicionamiento
President,presidente
Prinzen,príncipes
Prinzessin,princesa
Problem lösen,resolver un problema
Production,producción
Professor,profesor
Prophet,profeta
Prophezeiung,profecía
Prozess,proceso
Prävention,prevención
Psst,chist
Psychiater,psiquiatra
Pulsfrequenz,frecuencia del pulso
Punkt,punto
Qualitätskontrolle,control de calidad
Quantenmechanik,mecánica cuántica
Queen,reina
Rachel,Rachel
Rad der Zeit zurückdrehen,hacer retroceder la rueda del tiempo
Raines,Raines
Ranch,rancho
Randall,Randall
Randy,Randy
Ray,Ray
Raymond,Raymond
Rechnungen,facturas
Reed,Reed
Reg,Reg
Regeneration,regeneración
Rehabilitation,rehabilitación
Reicht,suficiente
Religion,religión
Rendite,rendimiento
Ressourcen,recurso
Ressourcenschonend,recurso ahorrador
Rette,salva
Richard,Ricardo
Richtige,correcta
Richtung,dirección
Ricky,Ricky
Riggs,Riggs
Riker,Riker
Ripley,Ripley
Risiko,riesgo
Risikomanagement,gestión de riesgos
River,río
Road,carretera
Rob,Rob
Roberts,Roberts
Robin,Robin
Rocky,Rocky
Roger,Roger
Rohr,tubo
Rolle spielen,jugar un rol
Ron,Ron
Ronnie,Ronnie
Rosa,Rosa
Ross,Ross
Route,ruta
Rusty,Rusty
Ryo,Ryo
Sake,sake
Sakura,Sakura
Sam,Sam
Samantha,Samantha
Sandra,Sandra
Sarah,Sarah
Sarg,ataúd
Sarge,sargento
Sau,cerdo
Schach,ajedrez
Schachtel,caja
Schatz,tesoro
Schauspieler,actor
Schein,aparencia
Scheisse,mierda
Schiedsrichter,árbitro
Schienenverkehr,tráfico ferroviario
Schlampe,puta
Schlange,serpiente
Schmuck,joyería
Schneider,sastre
Schreckensbild ergeben,dar una imagen terrorífica
Schriftsteller,escritor
Schritt,paso
Schrott,chatarra
Schublade,cajón
Schulter,hombro
Schutzmechanismus,mecanismo de protección
Schwamm,esponja
Schwert,espada
Schwierigkeit,dificultad
Schwuchtel,marica
Scotch,whisky escocés
Sean,Sean
Seattle,Seattle
Security,seguridad
Sektor,sector
Selbstständige,autónomo
Selbstständigkeit,independencia
Selbstverwirklichung,autorrealización
Senat,senado
Server,servidor
Shawn,Shawn
Sheppard,Sheppard
Sheriff,sheriff
Sherry,sherry
Sicherheit,seguridad
Sieger,ganador
Sinneseindruck,impresión sensorial
Sklave,esclavo
Sloane,Sloane
Soldat,soldado
Song,canción
Sonnenuntergang,atardecer
Sophie,Sophie
Sorte,tipo
Sozialabgabe,cuota social
Sozialsystem,sistema social
Sozialversicherung,seguro social
Spanien,España
Spannung,tensión
Special,especial
Spur,rastro
Staat,estado
Staatsanwalt,fiscal
Stahl,acero
Starbuck,starbuck
Statistik auswerten,evaluar una estadística
Statue,estatua
Steak,bistec
Steck,enchufe
Steh,estar
Steigen,subir
Stell,colocar
Stellung nehmen zu,tomar posición sobre
Stephen,stephen
Steuer,impuesto
Steve,steve
Steven,steven
Stevens,stevens
Still,quietud
Stille,silencio
Stimmt,correcto
Stirn,frente
Strecke zurücklegen,recorrer un trayecto
Streifen,tira
Stuart,stuart
Studenten,estudiante
Stunden,hora
Subbed,subtitular
Subtitles,subtítulo
Sullivan,sullivan
Superman,superman
Susan,susan
Sylvia,sylvia
Symptome,síntoma
TOKYO,tokio
TShirt,camiseta
Tabletten,tableta
Tage,día
Tagen,día
Tages,día
Tank,tanque
Tankstelle,gasolinera
Tarnung,camuflaje
Tat,hecho
Tatara,tatara
Teddy,osito
Teilhabe,participación
Teilnahme,participación
Telefonnummer,número telefónico
Tempo,ritmo
Tenchi,tenchi
Terrorist,terrorista
Terroristen,terrorista
Tess,tess
Tetsu,tetsu
The,el
Therapie,terapia
Tickets,billete
Tiefe,profundidad
Tiere,animal
Timing,momento
Tina,tina
Toast,tostada
Tolles,fabuloso
Tom,tom
Tommy,tommy
Tony,tony
Tor,portería
Toten,muerto
Touch,tacto
Tourismus,turismo
Travis,travis
Treten,entrar
Trinkgeld,propina
Tropfen,gota
Trost,consuelo
Truppe,grupo
Tu,hacer
Tue,hacer
Turm,torre
Tust,hacer
Tut,hacer
Typ,tipo
Typen,tipo
Tätigkeit,actividad
Uh,eh
Uhm,ehm
Unglaublich,increíble
Universums,universo
Uns,nosotros
Unsinn,absurdo
Untersuchung,investigación
Untertitel,subtítulo
Valley,valle
Van,furgoneta
Vaters,padre
Verbindung,conexión
Verbindungen,conexión
Verbrauch,consumo
Verbraucherschutz,protección al consumidor
Vereinbarung,convenio
Vergangenheit,pasado
Vergebung,perdón
Vergesst,olvidar
Vergib,perdonar
Vergiss,olvidar
Verhalten,comportamiento
Verkehrsaufkommen,volumen de tráfico
Verlangen,desear
Verlass,abandonar
Verletzung,lesión
Verletzungen,herida
Verlobte,desposada
Vermarktung,mercadotecnia
Vernunft,razón
Verrat,traicionar
Verschwinde,desaparecer
Versehen,error
Versicherung,seguro
Verstanden,entender
Verstehe,entender
Verstehst,entender
Verständnis,comprensión
Verständnis schaffen,crear entendimiento
Versuch,intento
Versuchslabor,laboratorio de pruebas
Vertreter,representante
Verwandten,familia
Veränderung,cambio
Virtual-Reality-Brille,gafas de realidad virtual
Vorreiter,pionero
Zeitdruck,presión de tiempo
Zugeständnis,concesión
abgeholt,recogido
abgelehnt,rechazado
abgemacht,acordado
abgenommen,aceptado
abgeschnitten,cortado
abhalten,impedir
ablenken,distraer
abschalten,apagar
absolute,absoluta
abtreten,renunciar
abwarten,esperar
abzuholen,recoger
acht,ocho
aktivieren,activar
akzeptiert,aceptado
alle,todos
alleine,solo
allem,todo
allen,todos
alles,todo
allzu,demasiado
alte,vieja
alten,viejos
alter,alterar
am,en
an erster Stelle stehen,estar en primer lugar
and,y
andauernd,continuo
andere,otro
anderen,otros
anderer,otro
anderes,otro
andern,otros
anfing,empezó
angebracht,apropiado
angefangen,empezado
angehalten,detenido
angehen,concernir
angerichtet,preparado
angerufen,llamado
angetan,encantado
ankommt,llega
anlegen,establecer
annähern,aproximarse
anruft,llama
ans,al
ansieht,mira
anzufangen,empezar
anzusehen,mirar
arbeite,trabajo
arbeitet,trabaja
arbeiteten,trabajaron
armer,pobre
atmet,respira
auf der Hand liegen,ser evidente
auf sich zukommen lassen,dejar que venga
aufbauen,construir
aufbrechen,romper
aufgebaut,construido
aufgehalten,detenido
aufgehoben,anulado
aufgepasst,atendido
aufgrund,debido a
auflegen,colocar
aufrecht,derecho
aufrichtig,sincero
aufs,sobre el
aufwacht,despierta
aufzunehmen,grabar
auseinandersetzen,enfrentarse
ausgedacht,inventado
ausgegeben,gastado
ausgeliefert sein,estar a merced
ausgeraubt,robado
ausgeschlossen,excluido
ausgesprochen,expresado
aushalten,soportar
ausmacht,hace
ausreden,excusar
aussagen,declarar
aussah,parecía
ausschalten,apagar
ausser,excepto
aussiehst,pareces
aussieht,parece
ba,no
basiert,se basa
beantwortet,respondido
beauftragt,comisionado
bedeutet,significa
beeindrucken,impresionar
beeinflussen,influir
befohlen,ordenado
befolgen,seguir
befragen,interrogar
begehen,cometer
beginnt,comienza
begreifen,entender
begriffen,entendido
beherrschen,controlar
beiden,ambos
beim,en el
beiseite,a un lado
bekam,recibió
bekomme,recibo
bekommst,recibes
bekommt,recibe
belogen,engañado
bemerkt,observado
benutze,usa
benutzt,usado
benutzte,usado
berichtet,reportado
beruhige,calma
beschaffen,conseguir
bescheid,aviso
beschissene,maldito
beschleunigen,acelerar
beschloss,decidió
besetzt,ocupado
besorge,consigue
besorgt,preocupado
besprochen,discutido
besser,mejor
besserer,mejor
bestand,existencia
bestanden,aprobar
beste,mejor
besteht,existir
besten,mejor
bestimmen,determinar
bete,participar
betrachten,considerar
betrachtet,considerado
beunruhigt,inquieto
beurteilen,juzgar
bewacht,vigilado
bewaffnet,armado
beweg,mover
bewegt,movido
bewundere,admirar
bewusstlos,inconsciente
bezahlt,pagado
biete,ofrecer
bin,ser
bins,ser
binärer Code,código binario
bisschen,poco
bist,ser
bittet,pedir
bla,bla
bleib,quedarse
bleibe,quedarse
bleibst,quedarse
bleibt,quedarse
blicken,mirar
blockiert,bloqueado
bloss,solo
blutet,sangrar
brachte,traer
brauch,necesitar
brauche,necesitar
brauchst,necesitar
braucht,necesitar
brauchte,necesitar
brillant,brillante
bring,traer
bringe,traer
bringst,traer
bringt,traer
brutal,brutal
by,por
ca,aprox
chinesischen,chino
ciao,adiós
dachte,pensar
dachten,pensar
darauf,sobre eso
darf,poder
darfst,poder
darin,ahí
darum,por eso
darunter,debajo
dasselbe,mismo
dauert,durar
dauerte,durar
davon,de eso
davor,antes
dazu,a eso
dazwischen,entre
de,de
decken,cubrir
dein,tu
deine,tu
deinem,tu
deinen,tu
deiner,tu
deines,tu
deins,tuyo
den,el
denen,ellos
denke,pensar
denkst,pensar
denkt,pensar
denselben,mismo
der,el
deren,suyo
derselben,mismo
des,del
dessen,suyo
dicke,gordo
dicken,gordo
die,la
diese,esta
dieselben,mismo
diesem,este
diesen,este
dieser,este
dieses,este
dir,directorio
do,hacer
doch,sin embargo
doof,tonto
dort,allí
dran,encima
drauf,encima
dreckig,sucio
dreh,giro
drehe,giro
drehte,giró
drei,tres
drinnen,dentro
du,tú
dummer,más tonto
dummes,tonto
dunkle,oscuro
durchaus,ciertamente
durchgehen,atravesar
durchmachen,sufrir
durchsuchen,registrar
durchsucht,registrado
durchziehen,ejecutar
echte,real
ehren,honrar
eigenartig,extraño
eigene,propio
eigenen,propio
eigener,propio
eigenes,propio
eine,una
einem,un
einen,un
einer,uno
eines,uno
einfachen,fácil
eingefallen,ocurrido
eingehen auf,abordar
eingeschlossen,cerrado
einige,algunos
einiger,alguno
einnehmen,tomar
eins,uno
einstimmen auf,adaptarse a
einzelne,individual
einzige,única
einzigen,único
ekelhaft,repugnante
eklig,repugnante
elf,once
emotional,emocional
emotionale Reaktion,reacción emocional
empfinde,sentir
empfinden,sentir
empfinden als,percibir como
engagiert,involucrado
entfernt,remoto
entgrenzt,sin límites
entkommen,escapar
entschieden,decidido
entspricht,corresponde
entworfen,diseñado
er,él
erheben,elevar
erhielt,recibió
erinnere,recordar
erinnerst,recuerdas
erinnert,recuerda
erkannte,reconoció
erledige,terminar
erledigt,terminado
erleichtert,aliviado
ermordet,asesinado
erneut,nuevamente
erreicht,alcanzado
erschien,apareció
erschienen,aparecidos
erschossen,disparado
ersetzt,reemplazado
erste,primera
ersten,primero
erster,primero
erwartest,esperas
erwartet,esperado
erwischt,atrapado
euch,vosotros
euer,vuestro
eure,vuestra
euren,vuestros
explodieren,explotar
fahre,conducir
falle,caer
falsche,falsa
falschen,falso
familiäres Umfeld,entorno familiar
fand,encontró
fanden,encontraron
fass,tomar
fasse,tomar
fehlt,falta
feige,cobarde
fein,fino
festgehalten,sostenido
festgenommen,arrestado
fette,gordo
fetten,gordo
fiel,cayó
filmen,filmar
finde,encontrar
findest,encuentras
findet,encuentra
flog,voló
folgenden,siguientes
font,fuente
formulieren,formular
fort,lejos
frage,pregunta
ganze,entera
ganzen,enteros
ganzes,entero
gearbeitet,trabajado
gebaut,construido
gebe,doy
gebeten,pedido
gebissen,mordido
geboren,nacido
gebracht,traído
gebrochen,roto
gedacht,pensado
gefahren,viajado
gefangen,capturado
gefesselt,atado
gefragt,preguntado
gefressen,comido
gefunden,encontrado
gegangen,ido
gegeben,dado
gegessen,comido
geh,ve
gehabt,tenido
gehalten,mantenido
gehasst,odiado
gehe,voy
geholfen,ayudado
gehorchen,obedecer
gehst,vas
geht,va
gehts,va
gejagt,perseguido
gekannt,conocido
gekauft,comprado
gekocht,cocinado
gekommen,llegado
gelangen,llegar
gelassen,dejado
gelaufen,corregido
gelernt,aprendido
gelesen,leído
geliebt,amado
geliefert,entregado
gelten als,considerarse como
gelungen,exitoso
gemacht,hecho
gemalt,pintado
gemeint,significado
gemocht,gustado
genannt,llamado
genial,genial
genommen,Tomado
geopfert,sacrificado
gepackt,empaquetado
geplant,planificado
geraucht,fumado
geredet,hablado
gerettet,salvado
gerichtet,dirigido
gern,gusto
gerne,gusto
gesagt,dicho
geschafft,logrado
geschickt,enviado
geschieht,sucede
geschlafen,dormido
geschlagen,golpeado
geschlossen,cerrado
geschrieben,escrito
geschworen,jurado
gesehen,visto
gesessen,sentado
gesorgt,cuidado
gespielt,jugado
gesprochen,hablado
gesprungen,saltado
gestehen,confesar
gestellt,puesto
gestohlen,robado
gestorben,muerto
gestrichen,borrado
gesucht,buscado
gesungen,cantado
getan,hecho
getestet,probado
getroffen,encontrado
gewann,ganó
gewartet,esperado
geweckt,despertado
geweint,llorado
gewesen,estado
gewinnbringend,rentable
gewinne,gano
gewinnst,gana
gewonnen,ganado
geworden,convertido
gewusst,sabido
gezeichnet,dibujado
gezeigt,mostrado
gib,da
gibst,das
gibt,da
gibts,da
ging,fue
gingen,fueron
glatt,liso
glaub,cree
glaube,creo
glauben,creer
glaubst,crees
glaubt,cree
gleich,igual
gleiche,igual
gleichen,iguales
glücken,prosperar
go,ir
goldene,dorada
goldenen,dorados
got,obtenido
graben,cavar
