Deutsch_grundform,spanisch_grundform
modern,moderno
Motor,motor
Motorroller,scooter
Müll,basura
Museum,museo
Mütze,gorro
Nachbar,vecino
Nachricht,noticia
Nähe,cerca
nass,mojado
Natur,naturaleza
natürlich,por supuesto
Neben,al lado
Nebenan,al lado
Neblig,con niebla
Nennen,llamar
nervös,nervioso
nett,amable
Niemand,nadie
Nirgends,en ninguna parte
Notieren,anotar
Notiz,nota
notwendig,necesario
Nudel,pasta
nützlich,útil
offen,abierto
Online,en línea
Orange,naranja
Organisieren,organizar
Packen,hacer la maleta
Paket,paquete
Parfüm,perfume
Parken,aparcar
Passen,quedar bien
Passwort,contraseña
Pferd,caballo
Pflanze,planta
Pizza,pizza
Plakat,cartel
Planen,planear
Portion,porción
Poster,póster
Postkarte,postal
praktisch,práctico
preiswert,barato
privat,privado
Probieren,probar
Produkt,producto
Programm,programa
Projekt,proyecto
Prüfen,comprobar
Pullover,jersey
Putzen,limpiar
Qualität,calidad
Quiz,concurso
Radio,radio
Raten,adivinar
Rathaus,ayuntamiento
Rätsel,acertijo
Rechnen,calcular
Recht,tener razón
Reden,hablar
reich,rico
Reifen,neumático
Reihe,fila
Reinigung,limpieza
Reiten,montar
Renovieren,renovar
Rentner,jubilado
Reservieren,reservar
Rest,resto
Rezept,receta
Rind,ternera
Ring,anillo
Rock,falda
romantisch,romántico
Rose,rosa
Rücken,espalda
Rucksack,mochila
Rufen,llamar
Ruhe,tranquilidad
rund,redondo
Rundgang,recorrido
Sammeln,coleccionar
sauber,limpio
sauer,ácido
Schade,lástima
Schädlich,dañino
Schaffen,lograr
scharf,picante
Schenken,regalar
Schere,tijeras
Schiff,barco
Schimpfen,regañar
Schirm,paraguas
Schlafzimmer,dormitorio
schlimm,grave
Schloss,castillo
Schmerz,dolor
Schmutzig,sucio
Schnee,nieve
Schneiden,cortar
Schneien,nevar
Schokolade,chocolate
schrecklich,terrible
schriftlich,por escrito
schwach,débil
schwanger,embarazada
Schwein,cerdo
schwierig,difícil
Seife,jabón
Selbst,mismo
Sendung,programa
Service,servicio
Setzen,sentar
sicher,seguro
Singen,cantar
Situation,situación
Ski,esquí
Sogar,incluso
sonnig,soleado
Sonst,si no
spannend,emocionante
Sparen,ahorrar
Spaß,diversión
Spazieren,pasear
Spaziergang,paseo
Speichern,guardar
sportlich,deportivo
Sportplatz,campo de deportes
Sprechstunde,horario de consulta
Stadtplan,plano de la ciudad
Star,estrella
stark,fuerte
Stattfinden,tener lugar
Sterben,morir
Stiefel,bota
Stift,lápiz
Stockwerk,planta
Stören,molestar
Strand,playa
Streiten,discutir
streng,estricto
Stress,estrés
stressig,estresante
Stück,trozo
Stuhl,silla
Super,genial
Supermarkt,supermercado
Suppe,sopa
Surfen,navegar
süß,dulce
Süßigkeiten,dulces
sympathisch,simpático
Tablet,tableta
Tablette,pastilla
Tafel,pizarra
Taschengeld,paga
Tasse,taza
Austauschen,intercambiar
Team,equipo
Teilen,compartir
Teilnehmen,participar
Teller,plato
Tennis,tenis
Theater,teatro
tief,profundo
Tier,animal
Tipp,consejo
Titel,título
Topf,olla
Torte,tarta
total,totalmente
Tour,excursión
Tourist,turista
Tragen,llevar
Trainieren,entrenar
Training,entrenamiento
Traum,sueño
Träumen,soñar
traurig,triste
trocken,seco
Tschüs,adiós
T-shirt,camiseta
typisch,típico
Üben,practicar
Überall,en todas partes
Übermorgen,pasado mañana
Übersetzen,traducir
Übersetzung,traducción
Umsteigen,hacer transbordo
Umzug,mudanza
Unbedingt,absolutamente
Unfall,accidente
Universität,universidad
Unterhalten,charlar
Unterkunft,alojamiento
Unternehmen,hacer
Unterschied,diferencia
Untersuchen,examinar
Unterwegs,de camino
Verabredet,con una cita
Veranstaltung,evento
Verbieten,prohibir
Vereinbaren,acordar
Vergleichen,comparar
Verkehr,tráfico
Verkehrsmittel,medio de transporte
Verletzen,herir
Verlieben,enamorarse
Verpassen,perder
Verreisen,irse de viaje
Verschieben,posponer
verschieden,diferente
Verspätung,retraso
Versuchen,intentar
Vertrag,contrato
Vogel,pájaro
voll,lleno
Volleyball,voleibol
Vorbei,pasado
Vorbereiten,preparar
Vorgestern,anteayer
Vorher,antes
Vorn,delante
Vorschlag,sugerencia
vorsichtig,con cuidado
Vorwärts,hacia adelante
wach,despierto
Wagen,coche
Wählen,elegir
wahrscheinlich,probablemente
Wald,bosque
warm,caliente
Webseite,página web
Wechseln,cambiar
Wecken,despertar
Weg,ido
Wegen,a causa de
Wehtun,doler
weich,blando
Weil,porque
Welcher,cuál
Wenigstens,por lo menos
Wenn,cuando
Werkstatt,taller
Wettbewerb,concurso
Wieder,otra vez
windig,ventoso
wirklich,de verdad
Witz,chiste
witzig,gracioso
Wohnzimmer,salón
Wolke,nube
Workshop,taller
Wunsch,deseo
Wünschen,desear
Wurst,salchicha
Zahn,diente
Zeichnen,dibujar
Zeigen,mostrar
Zeitschrift,revista
Zelt,tienda de campaña
Zentrum,centro
Zettel,nota
Zeugnis,certificado
Ziehen,tirar
Ziel,meta
Zirkus,circo
Zitrone,limón
Zoo,zoo
Zuerst,primero
Zuhören,escuchar
Zuletzt,por último
Zum,por ejemplo
Zumachen,cerrar
Äh,eh
Ähm,em
Angetan,atraído
Beiden,ambos
Bisher,hasta ahora
Bloß,solo
Boss,jefe
Captain,capitán
Dad,papá
Daran,en eso
Darauf,en eso
Darüber,sobre eso
Darum,por eso
Dasselbe,lo mismo
Davon,de eso
Dazu,además
Deal,trato
Dessen,cuyo
Dran,en ello
Drauf,encima
Erwarten,esperar
Falls,en caso de
Fiel,cayó
Folgen,seguir
Fort,fuera
Gedanke,pensamiento
Gelten,valer
Geschehen,suceder
Grund,razón
Irgendwie,de alguna manera
Irgendwas,algo
Irgendwo,en algún lugar
Jemals,nunca
Jungs,chicos
Kerl,tipo
Klingen,sonar
Leiden,sufrir
Leisten,permitirse
Liebling,querido
Lord,señor
Ma'am,señora
Major,mayor
Meisten,mayoría
Mom,mamá
Niemals,nunca
Niemandem,a nadie
Offenbar,obviamente
Perfekt,perfecto
Quatsch,tonterías
Schließlich,finalmente
Selber,mismo
Sir,señor
Solange,mientras
Sowieso,de todos modos
Spüren,sentir
Ständig,constantemente
Statt,en lugar de
Übrig,restante
Verändern,cambiar
Vermissen,echar de menos
Wachen,vigilar
Wow,guau
Wundern,sorprenderse
Zufällig,por casualidad
Zwar,ciertamente
Verandern,cambiar
Couch,sofá
Cousin,primo
Cousine,prima
Enkel,nieto
Finger,dedo
Flur,pasillo
Alkohol,alcohol
Chance,oportunidad
Detail,detalle
Fabrik,fabrik
Fitness,fitness
Klinik,klinik
Krieg,krieg
Lob,lob
Lohn,lohn
Mauer,mauer
Motto,motto
Operation,operation
Respekt,respekt
Rolle,rolle
Schuld,schuld
Sinn,sinn
Studie,studie
System,system
Technik,technik
Video,vídeo
Wand,wand
Ware,mercancía
Alex,Alex
Blut,sangre
Boden,suelo
Boot,bote
Box,caja
Dach,techo
Druck,presión
Energie,energía
Erde,tierra
Erfolg,éxito
Gold,oro
Haut,piel
Hut,sombrero
Kraft,energía
Not,emergencia
Rede,discurso
Regeln,reglas
Sekunde,segundo
Signal,señal
Sorge,preocupación
Stimme,voz
Tod,muerte
Verkauf,venta
Zukunft,futuro
Lkw,camión
Klasse,clase
Gewicht,peso
Ergebnis,resultado
Cd,CD
Arbeitslos,desempleado
Arbeitsplatz,puesto de trabajo
Ausländisch,extranjero
Automatisch,automático
