Deutsch_grundform,spanisch_grundform
Bestimmung,determinación
Betrachtung,consideración
Betrug,fraude
Beteiligung,participación
Bewegung,movimiento
Beweis,prueba
Bewertung,evaluación
Bewusstsein,conciencia
Beziehung,relación
Bibliothek,biblioteca
Bildschirm,pantalla
Bildung,educación
Biografie,biografía
Biologie,biología
Blickwinkel,punto de vista
Blockade,bloqueo
Bombe,bomba
Botschaft,mensaje
Boulevard,bulevar
Branche,sector
Brennstoff,combustible
Bericht,informe
Brutalität,brutalidad
bruttoeinkommen,ingresos brutos
Buchführung,contabilidad
Bündnis,alianza
Bürokratie,burocracia
Charakter,carácter
Chemie,química
Chirurg,cirujano
Code,código
Computer,ordenador
darlehen,préstamo
Datenbank,base de datos
Debatte,debate
Defizit,déficit
Demonstration,manifestación
Deponie,vertedero
Depression,depresión
Diagramm,diagrama
Dialog,diálogo
Differenz,diferencia
Diktatur,dictadura
Dimension,dimensión
Diplomatie,diplomacia
Diskrepanz,discrepancia
Diskussion,discusión
Diversität,diversidad
Dividende,dividendo
Dogma,dogma
Doppelmoral,doble moral
Drama,drama
Dringlichkeit,urgencia
Druck,presión
Durchbruch,avance
Durchführung,ejecución
Dynamik,dinámica
Ebene,nivel
Echo,eco
Effizienz,eficiencia
Einfluss,influencia
einkommen,ingresos
Einstellung,actitud
Einzelheit,detalle
Eleganz,elegancia
Element,elemento
Elite,élite
Emotion,emoción
Empfehlung,recomendación
Empfindung,sensación
Energie,energía
Engagement,compromiso
Entdeckung,descubrimiento
Entscheidung,decisión
Entschuldigung,disculpa
Entspannung,relajación
Entwicklung,desarrollo
Enttäuschung,decepción
Entwurf,borrador
Epidemie,epidemia
Epoche,época
Ereignis,evento
Erfahrung,experiencia
Erfindung,invención
Erfolg,éxito
Ergebnis,resultado
Erhaltung,conservación
Erinnerung,recuerdo
Erkenntnis,conocimiento
Erklärung,explicación
Erlaubnis,permiso
Ermittlung,investigación
Ernährung,nutrición
Erneuerung,renovación
Ernst,seriedad
Eroberung,conquista
Erreichung,logro
Erscheinung,apariencia
erstaunen,asombro
Erwartung,expectativa
Erwerbstätigkeit,actividad laboral
Ethik,ética
Evolution,evolución
examen,examen
Experiment,experimento
Experte,experto
Explosion,explosión
Export,exportación
Extremismus,extremismo
Fabrik,fábrica
Fähigkeit,habilidad
Faktor,factor
Familie,familia
Fantasie,fantasía
Faszination,fascinación
Fehler,error
Feindschaft,enemistad
Feminismus,feminismo
Fertigkeit,destreza
Festival,festival
finanzen,finanzas
Flexibilität,flexibilidad
Flucht,huida
Fokus,enfoque
Folge,consecuencia
Forderung,exigencia
Formel,fórmula
Forschung,investigación
Fortschritt,progreso
Forum,foro
fragebogen,cuestionario
Freiheit,libertad
Freiwilliger,voluntario
Freude,alegría
Freundschaft,amistad
frieden,paz
Frust,frustración
Funktion,función
Furcht,miedo
Fusion,fusión
Ganzheit,totalidad
Garantie,garantía
Gebiet,territorio
Gebrauch,uso
Geburt,nacimiento
Gedächtnis,memoria
Gedanke,pensamiento
Geduld,paciencia
Gefahr,peligro
Gefühl,sentimiento
Gegensatz,contraste
Gegenstand,objeto
Gegenwart,presente
Gehalt,salario
Geheimnis,secreto
Geisel,rehén
Geist,espíritu
Gelegenheit,oportunidad
Gemeinschaft,comunidad
Gemüt,ánimo
Generation,generación
Genetik,genética
Genie,genio
Genuss,placer
Gerechtigkeit,justicia
Gericht,tribunal
Gerücht,rumor
Geschäft,negocio
Geschichte,historia
Geschmack,gusto
Gesellschaft,sociedad
Gesetz,ley
Gesicht,cara
Gespräch,conversación
Gestaltung,diseño
Geste,gesto
Gesundheit,salud
Gewalt,violencia
Gewerbe,comercio
Gewerkschaft,sindicato
Gewicht,peso
Gewinn,ganancia
gewissen,conciencia
Gewohnheit,hábito
Gipfel,cumbre
Gleichberechtigung,igualdad
Gleichgewicht,equilibrio
Glück,suerte
Gnade,gracia
Grenze,frontera
Griff,agarre
Größe,tamaño
Grund,razón
Gruppe,grupo
Gültigkeit,validez
Gunst,favor
Gymnasium,instituto
Haltung,actitud
Handel,comercio
Handlung,acción
Hardware,hardware
Harmonie,armonía
Hass,odio
Haushalt,hogar
Heftigkeit,intensidad
Heilung,curación
Heimat,patria
Heirat,matrimonio
Heiterkeit,alegría
Heldentum,heroísmo
Herausforderung,desafío
Herkunft,origen
Herrschaft,dominio
Herstellung,producción
Herz,corazón
Hilfe,ayuda
Himmel,cielo
Hindernis,obstáculo
Hinweis,indicación
Hitze,calor
Hochzeit,boda
Hoffnung,esperanza
Höflichkeit,cortesía
Horizont,horizonte
Horror,horror
Humor,humor
Hunger,hambre
Hypothese,hipótesis
Ideal,ideal
Identität,identidad
Ideologie,ideología
Ignoranz,ignorancia
Illusion,ilusión
Image,imagen
Immunsystem,sistema inmunitario
Import,importación
Industrie,industria
Infektion,infección
Information,información
Infrastruktur,infraestructura
Initiative,iniciativa
Innovation,innovación
Insekt,insecto
Inspiration,inspiración
Institution,institución
Instrument,instrumento
Integration,integración
Intelligenz,inteligencia
Intensität,intensidad
Interesse,interés
Internet,internet
Interview,entrevista
Investition,inversión
Ironie,ironía
Isolation,aislamiento
Journalist,periodista
Jugend,juventud
Justiz,justicia
Kampagne,campaña
Kandidat,candidato
Kapital,capital
Kapitalismus,capitalismo
Karriere,carrera
Kategorie,categoría
Kaufkraft,poder adquisitivo
Kenntnisse,conocimientos
Kette,cadena
Kind,niño
Kino,cine
Kirche,iglesia
Klang,sonido
Klarheit,claridad
Klasse,clase
Klassiker,clásico
Klima,clima
Klinik,clínica
Knappheit,escasez
Koalition,coalición
Kollege,colega
Komfort,comodidad
Kommentar,comentario
Kommunikation,comunicación
Kompetenz,competencia
Komplex,complejo
Komponente,componente
Kompromiss,compromiso
Kondition,condición
Konflikt,conflicto
Konkurrenz,competencia
Konsequenz,consecuencia
Konsument,consumidor
Kontakt,contacto
Kontrolle,control
Konzentration,concentración
Konzept,concepto
konzern,corporación
Kooperation,cooperación
Kopie,copia
Korruption,corrupción
kosten,costos
Kraft,fuerza
Krankheit,enfermedad
Kreativität,creatividad
Kredit,crédito
Krieg,guerra
Krise,crisis
Kritik,crítica
Küche,cocina
Kultur,cultura
Kunde,cliente
Kunst,arte
Kurs,curso
Lage,situación
Land,país
Landschaft,paisaje
Lärm,ruido
Laser,láser
Last,carga
Lauf,curso
leben,vida
Lebensstil,estilo de vida
Lehrplan,plan de estudios
Leistung,rendimiento
Leitung,dirección
Leidenschaft,pasión
lernen,aprendizaje
Liebe,amor
Lied,canción
Literatur,literatura
Lob,elogio
Lösung,solución
Luft,aire
Lust,deseo
Luxus,lujo
Macht,poder
Magie,magia
Management,gestión
Mangel,carencia
Manipulation,manipulación
Mann,hombre
Marke,marca
Marketing,marketing
Markt,mercado
Maß,medida
Masse,masa
Material,material
Mathematik,matemáticas
Maximum,máximo
Mechanismus,mecanismo
medien,medios
Medikament,medicamento
Medizin,medicina
Meinung,opinión
Melodie,melodía
Menge,cantidad
Mensch,persona
Menschenrechte,derechos humanos
Merkmal,característica
Messung,medición
Metapher,metáfora
Methode,método
Migration,migración
Milieu,ambiente
Million,millón
Minimum,mínimo
Mischung,mezcla
misstrauen,desconfianza
Mitarbeiter,colaborador
Mittel,medio
Mitteilung,comunicación
Mobilität,movilidad
Mode,moda
Modell,modelo
Moderne,modernidad
Modifikation,modificación
Modul,módulo
Molekül,molécula
Moment,momento
Moral,moral
Motiv,motivo
Motor,motor
Müdigkeit,cansancio
Musik,música
Muster,patrón
Mut,valor
Mystik,mística
Nachbar,vecino
Nachfrage,demanda
nachrichten,noticias
Nachweis,prueba
Nähe,cercanía
Name,nombre
Natur,naturaleza
Navigation,navegación
Neigung,inclinación
Netz,red
Neugierde,curiosidad
Neutralität,neutralidad
Niveau,nivel
Norm,norma
Nostalgie,nostalgia
Notfall,emergencia
Notwendigkeit,necesidad
Nummer,número
nutzen,beneficio
Objekt,objeto
Öffentlichkeit,opinión pública
Operation,operación
Optimismus,optimismo
Option,opción
Ordnung,orden
Organisation,organización
Orientierung,orientación
Originalität,originalidad
Paket,paquete
Panik,pánico
Parameter,parámetro
Partei,partido
Partner,socio
Passion,pasión
Patient,paciente
Pause,pausa
Periode,período
Persönlichkeit,personalidad
Perspektive,perspectiva
Pessimismus,pesimismo
Phase,fase
Philosophie,filosofía
Physik,física
Plan,plan
Plattform,plataforma
Politik,política
Population,población
Position,posición
Potential,potencial
Präsentation,presentación
Praxis,práctica
Preis,precio
Prinzip,principio
Priorität,prioridad
Privatsphäre,privacidad
Problem,problema
Produkt,producto
Produktivität,productividad
Profit,beneficio
Programm,programa
Projekt,proyecto
Propaganda,propaganda
Proportion,proporción
Protest,protesta
Prozess,proceso
Psychologie,psicología
Publikum,público
Punkt,punto
Qualifikation,cualificación
Qualität,calidad
Quantität,cantidad
Quelle,fuente
Rache,venganza
rahmen,marco
Raum,espacio
Reaktion,reacción
Realität,realidad
Recherche,investigación
Recht,derecho
Rechnung,cuenta
Reform,reforma
Regel,regla
Region,región
Regierung,gobierno
Relation,relación
Religion,religión
Rendite,rentabilidad
Reparatur,reparación
Repräsentant,representante
Republik,república
Respekt,respeto
Ressource,recurso
Revolution,revolución
Rhythmus,ritmo
Richtung,dirección
Risiko,riesgo
Ritual,ritual
Rolle,papel
Roman,novela
Routine,rutina
Ruf,reputación
Ruhe,calma
Sache,cosa
Sackgasse,callejón sin salida
Sammlung,colección
Sanktion,sanción
Satz,frase
schaden,daño
Schatz,tesoro
Schätzung,estimación
Schicht,capa
Schicksal,destino
Schönheit,belleza
Schule,escuela
Schuld,culpa
Schutz,protección
Schwerpunkt,enfoque
Seele,alma
segen,bendición
Segment,segmento
Seitdem,desde entonces
Sektor,sector
Sensation,sensación
Serie,serie
Service,servicio
Sicherheit,seguridad
Signal,señal
Sinn,sentido
Situation,situación
Skandal,escándalo
Skizze,bosquejo
Software,software
Sommer,verano
Sorge,preocupación
Sozialismus,socialismo
Spannung,tensión
Spektrum,espectro
Spiel,juego
Sport,deporte
Sprache,idioma
Staat,estado
Stadt,ciudad
Standard,estándar
Statistik,estadística
Status,estado
Stelle,puesto
Stellung,posición
steuern,impuestos
Stil,estilo
Stimmung,estado de ánimo
Strategie,estrategia
Streit,disputa
Stress,estrés
Struktur,estructura
Student,estudiante
Studie,estudio
Substanz,sustancia
Symbol,símbolo
System,sistema
Tabelle,tabla
Taktik,táctica
Talent,talento
Tatsache,hecho
Technik,técnica
Technologie,tecnología
Temperament,temperamento
Tendenz,tendencia
Terror,terror
Test,prueba
Text,texto
Theater,teatro
Thema,tema
Theorie,teoría
Therapie,terapia
Tier,animal
Titel,título
Tod,muerte
Toleranz,tolerancia
Ton,tono
Tradition,tradición
Tragödie,tragedia
Training,entrenamiento
Transformation,transformación
Transport,transporte
Traum,sueño
Trend,tendencia
Treue,lealtad
Triumph,triunfo
Truppe,tropa
Typ,tipo
Übergang,transición
Überraschung,sorpresa
Übersicht,resumen
Übertragung,transmisión
Überzeugung,convicción
Umfrage,encuesta
Umgang,trato
Umgebung,entorno
Umsatz,facturación
Umwelt,medio ambiente
Unabhängigkeit,independencia
Unfall,accidente
Ungeduld,impaciencia
Ungewissheit,incertidumbre
Universität,universidad
Unkraut,hierba mala
Unruhe,inquietud
Unsicherheit,inseguridad
Unterbrechung,interrupción
Unterhaltung,entretenimiento
Unterschied,diferencia
Unterschrift,firma
Unterstützung,apoyo
Untersuchung,investigación
Ursache,causa
Urteil,juicio
Variation,variación
Veränderung,cambio
Veranstaltung,evento
Verantwortung,responsabilidad
Verbesserung,mejora
verbrechen,crimen
Verbindung,conexión
Verdacht,sospecha
verfahren,procedimiento
Verfügung,disponibilidad
Vergangenheit,pasado
Vergleich,comparación
verhalten,comportamiento
Verhältnis,relación
Verkauf,venta
Verkehr,tráfico
verlangen,deseo
Verlauf,curso
Verletzung,lesión
Verlust,pérdida
vermögen,patrimonio
Vernunft,razón
Verpflichtung,obligación
Verrücktheit,locura
Verschmutzung,contaminación
Versicherung,seguro
Version,versión
versprechen,promesa
Verstand,entendimiento
Verstärkung,refuerzo
Verständnis,comprensión
Versuch,intento
Verteidigung,defensa
Vertrag,contrato
vertrauen,confianza
Verwaltung,administración
Verwendung,uso
Verzweiflung,desesperación
Video,vídeo
Virus,virus
Vision,visión
Volk,pueblo
Vollendung,perfección
Voraussetzung,requisito
Vorbereitung,preparación
Vorbild,modelo
Vorfall,incidente
Vorgang,proceso
vorhaben,proyecto
Vorliebe,preferencia
Vorschlag,propuesta
Vorstellung,idea
Vorteil,ventaja
Vorurteil,prejuicio
Waffe,arma
Wahrheit,verdad
Wahrnehmung,percepción
Wahrscheinlichkeit,probabilidad
Wandel,cambio
Ware,mercancía
Wärme,calor
Warnung,advertencia
Wartung,mantenimiento
Wasser,agua
Website,sitio web
Wechsel,cambio
Weg,camino
Wehe,dolor
Wein,vino
Weise,manera
Weisheit,sabiduría
Welt,mundo
Wende,giro
Werbung,publicidad
Werk,obra
Werkzeug,herramienta
Wert,valor
wesen,ser
Wetter,tiempo
Wichtigkeit,importancia
Widerspruch,contradicción
Widerstand,resistencia
Wiederholung,repetición
willkommen,bienvenida
Wind,viento
Wirklichkeit,realidad
Wirkung,efecto
Wirtschaft,economía
wissen,conocimiento
Wissenschaft,ciencia
Witz,chiste
Wohl,bienestar
Wohnung,vivienda
Wort,palabra
Wunder,milagro
Wunsch,deseo
Würde,dignidad
Wut,ira
Zahl,número
Zeit,tiempo
Zeitung,periódico
Zentrum,centro
Zerstörung,destrucción
Ziel,objetivo
Zitat,cita
Zone,zona
Zufall,casualidad
Zufriedenheit,satisfacción
Zugang,acceso
Zukunft,futuro
Zulassung,admisión
Zusammenarbeit,cooperación
Zusammenhang,contexto
Zustand,estado
Zustimmung,aprobación
Zweck,propósito
Zweifel,duda
Abend,tarde
Abfahrt,salida
Abgang,salida
abgeben,entregar
Abhärtung,endurecimiento
abkommen,acuerdo
Abkürzung,abreviación
Ablauf,transcurso
Absage,cancelación
Abschluss,final
Absender,remitente
Absolvent,graduado
Abstieg,descenso
Abteilung,departamento
Abwehr,defensa
Abwesenheit,ausencia
Achse,eje
Ader,vena
Adoptionsgesetz,ley de adopción
Affäre,asunto
Agent,agente
Aggression,agresión
Aktie,acción
Aktivist,activista
Alkohol,alcohol
Alltag,vida cotidiana
Amt,oficina
Analyse,análisis
Anbau,cultivo
Anbieter,proveedor
Andeutung,insinuación
Anfall,ataque
Angabe,indicación
Angebot,oferta
Angst,miedo
Anklage,acusación
Anlage,instalación
Anmerkung,nota
Anordnung,orden
Anpassung,adaptación
Anregung,sugerencia
Anreise,viaje de ida
Anruf,llamada
Ansage,anuncio
Anschlag,ataque
Anschluss,conexión
ansehen,prestigio
Ansicht,opinión
Anspannung,tensión
Anspruch,derecho
Anstellung,empleo
Anteil,parte
Antrag,solicitud
Antwort,respuesta
Anweisung,instrucción
Anwendung,aplicación
Anwesenheit,presencia
anzeichen,señal
Anzeige,anuncio
Apartment,apartamento
Apparat,aparato
Appetit,apetito
Apfel,manzana
Arbeitgeber,empleador
Arbeitnehmer,empleado
Arbeitsplatz,lugar de trabajo
Arena,arena
Armee,ejército
Artikel,artículo
Arzt,médico
Assistent,asistente
Asthma,asma
Atlas,atlas
Attraktion,atracción
Aufenthalt,estancia
Aufgabe,tarea
Auflage,edición
Aufmerksamkeit,atención
Aufnahme,grabación
Aufsatz,ensayo
Aufzug,ascensor
Augenblick,momento
Ausdruck,expresión
Ausfall,fallo
Ausflug,excursión
Ausgabe,gasto
Ausgang,salida
Auskunft,información
Ausland,extranjero
Aussage,declaración
aussehen,apariencia
Aussicht,perspectiva
Ausstellung,exposición
Ausweg,salida
Ausweis,documento
Auto,coche
Autor,autor
Bach,arroyo
Bahn,tren
Bahnhof,estación
Balance,equilibrio
Band,banda
Bank,banco
Bar,bar
Basis,base
Batterie,batería
Bauer,granjero
Baum,árbol
Beamte,funcionario
Bearbeitung,procesamiento
Bedingung,condición
Beendigung,terminación
Befehl,orden
Beginn,comienzo
Behandlung,tratamiento
Beispiel,ejemplo
Bekämpfung,lucha
Bekanntschaft,conocido
Beleidigung,insulto
Bemerkung,observación
Bemühung,esfuerzo
Benachrichtigung,notificación
Benutzer,usuario
Berg,montaña
Berücksichtigung,consideración
Beruf,profesión
Berufung,vocación
Berührung,contacto
Bescheid,información
Besitz,posesión
Besonderheit,particularidad
Besserung,mejora
Bestand,existencia
Bestandteil,componente
Bestätigung,confirmación
Besteck,cubiertos
Besuch,visita
Besucher,visitante
Betrag,cantidad
Betrieb,empresa
Bett,cama
Beurteilung,evaluación
Bevölkerung,población
Bevorzugung,preferencia
Bewerber,candidato
Bezeichnung,denominación
Bezug,referencia
Bier,cerveza
Bild,imagen
Billion,billón
Biographie,biografía
Bit,bit
Blatt,hoja
Blick,mirada
Block,bloque
Blume,flor
Blut,sangre
boden,suelo
Boot,barco
Brand,incendio
Brauch,costumbre
Brei,papilla
Brief,carta
Brille,gafas
Brot,pan
Brücke,puente
Bruder,hermano
Brust,pecho
Buch,libro
Buchstabe,letra
Bühne,escenario
Bundesrat,consejo federal
Bürger,ciudadano
Büro,oficina
Bus,autobús
Butter,mantequilla
Café,café
Container,contenedor
Dach,tejado
Dame,dama
Dampf,vapor
Dank,agradecimiento
Darstellung,representación
daten,datos
Datum,fecha
Dauer,duración
daumen,pulgar
Decke,manta
Deckung,cobertura
Definition,definición
Detail,detalle
Diagnose,diagnóstico
Diät,dieta
Dichter,poeta
Dieb,ladrón
Dienst,servicio
Dienstag,martes
Ding,cosa
Direktor,director
Distanz,distancia
Division,división
Dokument,documento
Dollar,dólar
Donnerstag,jueves
Dorf,pueblo
Drittel,tercio
Duft,aroma
Dummheit,estupidez
Dunkelheit,oscuridad
Durchschnitt,promedio
Durst,sed
Dusche,ducha
Eck,esquina
Effekt,efecto
Ehe,matrimonio
Ehre,honor
Einblick,perspectiva
Eindruck,impresión
Einführung,introducción
Eingabe,entrada
Eingang,entrada
Einheit,unidad
Einkauf,compra
Einladung,invitación
Einnahme,ingestión
Einrichtung,instalación
Einsatz,uso
Eintrag,entrada
Eintritt,entrada
Einwand,objeción
Einwohner,habitante
Eis,hielo
eisen,hierro
Elefant,elefante
eltern,padres
Empfang,recepción
Ende,fin
Entfernung,distancia
Entlassung,despido
Entstehung,formación
Erbe,herencia
Erfüllung,cumplimiento
Erhöhung,aumento
Erkältung,resfriado
Erlebnis,experiencia
Erleichterung,alivio
Ermäßigung,descuento
Eröffnung,apertura
Ersparnis,ahorro
Erwachsene,adulto
Erwiderung,respuesta
Erziehung,educación
essen,comida
Essig,vinagre
Etage,piso
Etikett,etiqueta
Euro,euro
Existenz,existencia
Fabel,fábula
Fach,materia
Fahrkarte,billete
Fahrplan,horario
Fahrrad,bicicleta
Fahrt,viaje
Fall,caso
Farbe,color
Fassung,versión
Feder,pluma
Feier,celebración
Feind,enemigo
Feld,campo
Fenster,ventana
ferien,vacaciones
fernsehen,televisión
Fest,fiesta
Feuer,fuego
Fieber,fiebre
Figur,figura
Film,película
Filter,filtro
Finger,dedo
Firma,empresa
Fisch,pez
Flasche,botella
Fleisch,carne
Fleiß,diligencia
flughafen,aeropuerto
Flugzeug,avión
Fluss,río
Form,forma
Foto,foto
Frage,pregunta
Frau,mujer
Fraulein,señorita
Freitag,viernes
Freund,amigo
Frost,escarcha
Frucht,fruta
Frühling,primavera
Führung,liderazgo
Fuß,pie
Futter,alimento
Gabe,don
Gang,pasillo
garten,jardín
Gas,gas
Gast,invitado
Gebäude,edificio
Gebirge,montañas
Gedicht,poema
Gefängnis,cárcel
Gegend,región
Gegenteil,opuesto
Gehirn,cerebro
Gehör,oído
Geld,dinero
Gemüse,verdura
Geräusch,ruido
Geruch,olor
Gesang,canto
Geschenk,regalo
Geschwindigkeit,velocidad
Gestalt,forma
Getränk,bebida
Gewehr,rifle
Gift,veneno
Glas,cristal
Glaube,fe
Gold,oro
Gott,dios
Grab,tumba
Grad,grado
Gramm,gramo
Gras,hierba
Gruß,saludo
Gürtel,cinturón
gut,bien
Haar,pelo
hafen,puerto
Hahn,grifo
Hals,cuello
Halt,parada
Hammer,martillo
Hand,mano
Handschuh,guante
Handwerk,artesanía
Hang,pendiente
Haupt,principal
Haus,casa
Haut,piel
Heft,cuaderno
Heizung,calefacción
Held,héroe
Hemd,camisa
Herbst,otoño
Herd,cocina
Herr,señor
hoch,alto
Hof,patio
Höhe,altura
Höhle,cueva
Holz,madera
Hotel,hotel
Hügel,colina
Huhn,pollo
Hund,perro
Hut,sombrero
Idee,idea
Inhalt,contenido
Insel,isla
Jahr,año
Jahrhundert,siglo
Jahreszeit,estación
Kaffee,café
Kaiser,emperador
Kälte,frío
Kamera,cámara
Kampf,lucha
Kanal,canal
Kanton,cantón
Kapitän,capitán
Kapitel,capítulo
Karte,carta
Kartoffel,patata
Käse,queso
Kasse,caja
Katalog,catálogo
Katze,gato
Kauf,compra
Kehle,garganta
Kellner,camarero
Kenntnis,conocimiento
kern,núcleo
Klavier,piano
Kleid,vestido
Kleidung,ropa
klein,pequeño
Knie,rodilla
Knopf,botón
Koch,cocinero
Koffer,maleta
Kohle,carbón
König,rey
können,habilidad
Konstruktion,construcción
Konto,cuenta
Konzert,concierto
Kopf,cabeza
Körper,cuerpo
Krankenhaus,hospital
Kreis,círculo
kuchen,pastel
Kugel,bola
Kuh,vaca
Künstler,artista
Kuss,beso
Küste,costa
lächeln,sonrisa
laden,tienda
Lampe,lámpara
Lebensmittel,alimentos
Leder,cuero
Lehre,enseñanza
Lehrer,profesor
Leib,cuerpo
Leiter,líder
Leser,lector
Licht,luz
Lieferung,entrega
Linie,línea
Liste,lista
Liter,litro
Loch,agujero
Lohn,salario
Lunge,pulmón
mädchen,chica
magen,estómago
Mahlzeit,comida
Mal,vez
Manager,gerente
Mannschaft,equipo
Mantel,abrigo
Maschine,máquina
Mauer,muro
Mechaniker,mecánico
Meer,mar
Mehl,harina
Meister,maestro
Meldung,informe
Messe,feria
Messer,cuchillo
Meter,metro
Miene,expresión
Milch,leche
Minute,minuto
Mitglied,miembro
Mitleid,compasión
Mittag,mediodía
Mitte,centro
Mittwoch,miércoles
Monat,mes
Mond,luna
Montag,lunes
Mord,asesinato
morgen,mañana
Mühe,esfuerzo
Mund,boca
Museum,museo
Mutter,madre
Nachmittag,tarde
Nachricht,mensaje
Nacht,noche
Nase,nariz
Nebel,niebla
Neffe,sobrino
Nerv,nervio
Nest,nido
norden,norte
Note,nota
Ohr,oído
Oktober,octubre
Öl,aceite
Oper,ópera
Opfer,víctima
Opposition,oposición
Ort,lugar
osten,este
Paar,par
Papier,papel
Park,parque
Pass,pasaporte
Person,persona
Personal,personal
Pferd,caballo
Pfeife,pipa
Pflanze,planta
Pflicht,deber
Phantasie,fantasía
Piano,piano
Platz,lugar
Polizei,policía
Post,correo
Presse,prensa
Professor,profesor
Prozent,porcentaje
Prüfung,examen
Radio,radio
rasen,césped
Rat,consejo
Rede,discurso
regen,lluvia
reich,reino
Reihe,fila
Reise,viaje
Rest,resto
Resultat,resultado
Rezept,receta
Rind,res
Ring,anillo
Rock,falda
Rose,rosa
rücken,espalda
Saft,jugo
Schaf,oveja
Schal,bufanda
Schale,cáscara
Schein,apariencia
Schiff,barco
Schlacht,batalla
Schlaf,sueño
Schlag,golpe
Schlange,serpiente
Schließung,cierre
Schloss,castillo
Schluss,final
Schmerz,dolor
Schnee,nieve
Schock,shock
Schrank,armario
Schreiber,escritor
Schrift,escritura
Schritt,paso
Schwäche,debilidad
Schwanz,cola
Schwarze,negro
schweigen,silencio
Schwester,hermana
Schwierigkeit,dificultad
See,lago
Sehe,ver
Seite,página
Sekunde,segundo
Selbst,uno mismo
Sieg,victoria
Silber,plata
Sitz,asiento
Sohn,hijo
Sonne,sol
Sonntag,domingo
Stahl,acero
Stamm,tribu
Stand,posición
Star,estrella
Station,estación
stern,estrella
Steuer,impuesto
Stimme,voz
Stock,palo
Stoff,material
Stolz,orgullo
Straße,calle
Strafe,castigo
Strand,playa
Strom,corriente
Stück,pieza
Stufe,escalón
Stuhl,silla
Stunde,hora
Sturm,tormenta
Suche,búsqueda
süden,sur
Tag,día
Tal,valle
Tanz,baile
Tasche,bolso
Tat,acto
Tee,té
Teil,parte
Telefon,teléfono
Temperatur,temperatura
Tempo,tempo
Termin,cita
Tisch,mesa
Tochter,hija
Tour,gira
Trennung,separación
Treppe,escalera
Überblick,resumen
Überlegung,consideración
Übernahme,adquisición
Übung,ejercicio
Uhr,reloj
Umstand,circunstancia
Untergang,caída
unternehmen,empresa
Unterricht,clase
Vater,padre
Verarbeitung,procesamiento
Verband,asociación
Verein,asociación
Vieh,ganado
Vogel,pájaro
Wahl,elección
Wald,bosque
Wand,pared
Wehr,defensa
Wendung,giro
westen,oeste
Winter,invierno
Woche,semana
Wurzel,raíz
Zahn,diente
Zigarette,cigarrillo
Zimmer,habitación
Zins,interés
Zug,tren
Zwilling,gemelo
Zwischenfall,incidente
Abbruch,cancelación
Ablenkung,distracción
Abneigung,aversión
abschneiden,resultado
Abwandlung,variación
Achtsamkeit,atención plena
Affirmation,afirmación
Aggravation,agravación
Aktualität,actualidad
Alltagssprache,lenguaje cotidiano
Alternation,alternancia
Ambivalenz,ambivalencia
Amplifizierung,amplificación
Analogie,analogía
Angelegenheit,asunto
Anonymität,anonimato
Anspruchslosigkeit,modestia
Antike,antigüedad
Antipatbie,antipatía
Apparatur,aparato
Arbeiterschaft,clase obrera
Arbeitsethik,ética laboral
Arbeitsklima,ambiente laboral
Archeologie,arqueología
Argumentation,argumentación
Arroganz,arrogancia
Artenschutz,protección de especies
Artikelschreiber,articulista
Ästhetik,estética
Astrologie,astrología
Asynchronität,asincronía
Aufbereitung,preparación
Auffassung,concepción
