Deutsch_grundform,spanisch_grundform
bekannt,conocido
bekannt geben,anunciar
bekommen,recibir
Beleg,recibo
beleidigen,insultar
beliebt,popular
bemerken,notar
sich bemühen,esforzarse
benötigen,necesitar
benutzen,usar
Benzin,gasolina
beobachten,observar
bequem,cómodo
beraten,aconsejar
Beratung,asesoramiento
berechnen,calcular
Bereich,zona
bereit,listo
bereits,ya
berichten,informar
Bericht,informe
beruflich,profesional
berufstätig,que trabaja
beruhigen,tranquilizar
berühmt,famoso
beschädigen,dañar
beschäftigen,ocupar
Beschäftigung,ocupación
Bescheid sagen,avisar
Bescheid geben,avisar
beschließen,decidir
beschränken,limitar
beschreiben,describir
Beschreibung,descripción
sich beschweren,quejarse
besetzen,ocupar
besichtigen,visitar
besitzen,poseer
besonder,especial
besonders,especialmente
besorgen,conseguir
besprechen,hablar
Besprechung,reunión
Besserung,mejoría
bestätigen,confirmar
Bestätigung,confirmación
bestehen,aprobar
bestellen,pedir
bestimmt,seguro
bestrafen,castigar
besuchen,visitar
sich beteiligen,participar
Betrag,importe
betreuen,cuidar
Betreuer,cuidador
Betreuung,cuidado
Betrieb,empresa
Betriebsrat,comité de empresa
betrügen,engañar
betrunken,borracho
Bevölkerung,población
bevor,antes de
bewegen,mover
Bewegung,movimiento
beweisen,demostrar
Beweis,prueba
sich bewerben,solicitar
Bewerbung,solicitud
Bewohner,habitante
bezahlen,pagar
Beziehung,relación
bieten,ofrecer
Bildschirm,pantalla
Billett,billete
billig,barato
Biologie,biología
Bio-,ecológico
bio(logisch),biológico
bis,hasta
bisher,hasta ahora
ein bisschen,un poco
bitten,pedir
bitte,por favor
bitter,amargo
blass,pálido
bleiben,quedarse
blind,ciego
Blitz,rayo
blitzen,relampaguear
bloß,solo
blond,rubio
blühen,florecer
bluten,sangrar
Botschaft,embajada
böse,malo
braten,freír
brauchen,necesitar
brechen,romper
breit,ancho
Breite,anchura
bremsen,frenar
Bremse,freno
brennen,arder
Briefkasten,buzón
Briefträger,cartero
Briefumschlag,sobre
Brieftasche,cartera
bringen,traer
Broschüre,folleto
Brötli,panecillo
Brust,pecho
Bub,chico
buchen,reservar
Buchhandlung,librería
buchstabieren,deletrear
Büchse,lata
Buffet,bufé
Bühne,escenario
bunt,de colores
Burg,castillo
Bürger,ciudadano
Bürste,cepillo
chic/schick,elegante
Coiffeur,peluquero
Couvert,sobre
da,ahí
dabei,con
dafür,para eso
dagegen,en contra
daher,por eso
dahin,hacia allí
damals,entonces
damit,para que
danach,después
daneben,al lado
danken,agradecer
dankbar,agradecido
danke,gracias
dann,entonces
darstellen,representar
Darstellung,representación
dass,que
Dauer,duración
dauern,durar
dauernd,continuamente
Decke,techo
dekorieren,decorar
denken,pensar
Denkmal,monumento
denn,pues
derselbe,el mismo
deshalb,por eso
Dessert,postre
deswegen,por eso
deutlich,claramente
Diät,dieta
Dialekt,dialecto
Dialog,diálogo
dicht,denso
dick,gordo
Dieb,ladrón
dienen,servir
Dienst,servicio
dies,este
diesmal,esta vez
digital,digital
Diplom,diploma
direkt,directo
Direktor,director
Dreck,suciedad
drehen,girar
dringend,urgente
drin,dentro
Droge,droga
Drogerie,droguería
drüben,allí
drucken,imprimir
drücken,apretar
dumm,tonto
dunkel,oscuro
dünn,delgado
durch,a través de
durcheinander,desordenado
Durchschnitt,promedio
durchschnittlich,de media
dürfen,poder
durstig,sediento
duschen,ducharse
duzen,tutear
eben,justo
ebenfalls,igualmente
ebenso,igualmente
e-card,tarjeta sanitaria
echt,auténtico
ec-Karte,tarjeta de débito
Eck,esquina
eckig,cuadrado
egal,igual
Ehe,matrimonio
Ehepaar,matrimonio
eher,más bien
ehrlich,honesto
eigen,propio
eigentlich,en realidad
sich eignen,ser adecuado
eilen,apresurarse
Eile,prisa
eilig,con prisa
ein,un
Einbahnstraße,calle de sentido único
einbrechen,robar
Einbrecher,ladrón
Einbruch,robo
eindeutig,claro
Eindruck,impresión
einerseits,por un lado
einfach,sencillo
Einfahrt,entrada
einfallen,ocurrirse
Einfall,idea
Einfluss,influencia
einfügen,insertar
einführen,introducir
Einführung,introducción
einheitlich,uniforme
einig,de acuerdo
sich einigen,ponerse de acuerdo
einkaufen,comprar
Einkauf,compra
Einkommen,ingresos
einladen,invitar
einmal,una vez
Einnahme,ingreso
einpacken,empaquetar
einrichten,amueblar
Einrichtung,mobiliario
einsam,solitario
einschalten,encender
einschließlich,incluido
Einschreiben,carta certificada
einsetzen,utilizar
einsteigen,subir
einstellen,contratar
eintragen,inscribir
eintreten,entrar
einverstanden,de acuerdo
Einwohner,habitante
einzahlen,ingresar
Einzahlung,ingreso
einzeln,individual
Einzel-,individual
Einzelheit,detalle
einzig,único
einziehen,mudarse
Eisenbahn,ferrocarril
elegant,elegante
elektrisch,eléctrico
Elektro-,eléctrico
elektronisch,electrónico
empfangen,recibir
Empfang,recepción
empfehlen,recomendar
Empfehlung,recomendación
enden,terminar
endlich,por fin
endgültig,definitivo
eng,estrecho
entdecken,descubrir
entfernen,quitar
Entfernung,distancia
entgegenkommen,acercarse
enthalten,contener
entlang,a lo largo de
entlassen,despedir
Entlassung,despido
entscheiden,decidir
Entscheidung,decisión
unentschieden,indeciso
sich entschließen,decidirse
entschlossen,decidido
entschuldigen,disculpar
entsorgen,eliminar
entspannend,relajante
entstehen,surgir
enttäuschen,decepcionar
Enttäuschung,decepción
entweder ... oder,o ... o
entwickeln,desarrollar
Entwicklung,desarrollo
Erdapfel,patata
Ereignis,acontecimiento
sich ereignen,ocurrir
erfahren,enterarse
erfinden,inventar
Erfindung,invento
erfolgreich,exitoso
erforderlich,necesario
erfordern,requerir
erfüllen,cumplir
ergänzen,completar
erhalten,recibir
erhöhen,aumentar
Erhöhung,aumento
sich erholen,recuperarse
Erholung,recuperación
erinnern,recordar
Erinnerung,recuerdo
sich erkälten,resfriarse
erkältet,resfriado
Erkältung,resfriado
erkennen,reconocer
erklären,explicar
Erklärung,explicación
sich erkundigen,informarse
erlauben,permitir
erleben,experimentar
Erlebnis,experiencia
erledigen,hacer
erleichtern,facilitar
ernähren,alimentar
Ernährung,alimentación
ernst,serio
ernsthaft,seriamente
Ernte,cosecha
eröffnen,abrir
Eröffnung,inauguración
erreichen,alcanzar
erschöpft,agotado
erschrecken,asustar
ersetzen,reemplazar
Ersatz,reemplazo
erst,primero
erst-,primero
erstellen,crear
erwachsen,adulto
erwarten,esperar
erzählen,contar
Erzählung,narración
erziehen,educar
Erziehung,educación
es,ello
essen,comer
Essig,vinagre
Etage,piso
etwa,aproximadamente
etwas,algo
eventuell,eventualmente
ewig,eterno
Experte,experto
Export,exportación
extra,extra
extrem,extremo
Fachmann,especialista
Fachleute,expertos
Fähigkeit,habilidad
fahren,conducir
Fähre,ferry
Fahrbahn,calzada
Fahrzeug,vehículo
fair,justo
Faktor,factor
fallen,caer
fällig,vencido
falls,en caso de que
falsch,falso
fangen,coger
Fantasie,fantasía
fantastisch,fantástico
farbig,de color
Faschierte,carne picada
Fasching,carnaval
Fasnacht,carnaval
fassen,coger
fast,casi
faul,perezoso
faulenzen,holgazanear
Fauteuil,sillón
fehlen,faltar
feiern,celebrar
Feierabend,fin de la jornada laboral
Feiertag,día festivo
Feld,campo
Ferien-,de vacaciones
Fernbedienung,mando a distancia
fernsehen,ver la televisión
fertig,listo
fest,fijo
Festplatte,disco duro
festhalten,sujetar
festlegen,fijar
festnehmen,detener
festsetzen,establecer
feststehen,estar claro
feststellen,constatar
fett,graso
feucht,húmedo
Feuerzeug,mechero
Feuerwehr,bomberos
Figur,figura
finanzieren,financiar
finanziell,financiero
finden,encontrar
fit,en forma
flach,plano
Fläche,superficie
Fleck,mancha
Fleischhauer,carnicero
fleißig,trabajador
flexibel,flexible
fliegen,volar
fliehen,huir
Flucht,huida
fließen,fluir
fließend,con fluidez
Flöte,flauta
Flüssigkeit,líquido
folgen,seguir
Folge,consecuencia
folgend,siguiente
fordern,exigir
Forderung,exigencia
fördern,fomentar
Förderung,fomento
Form,forma
forschen,investigar
Forschung,investigación
Fortbildung,formación continua
Fortschritt,progreso
fortsetzen,continuar
Fortsetzung,continuación
Forum,foro
fotografieren,fotografiar
Fotograf,fotógrafo
Fotografie,fotografía
fragen,preguntar
frech,descarado
frei,libre
im Freien,al aire libre
Freiheit,libertad
freiwillig,voluntario
fremd,extranjero
fressen,comer (animales)
sich freuen,alegrarse
Freude,alegría
freundlich,amable
Freundschaft,amistad
Friede,paz
frieren,tener frío
frisch,fresco
Friseur,peluquero
Frisur,peinado
Frist,plazo
froh,alegre
Frucht,fruta
fröhlich,alegre
früh/früher,temprano
frühstücken,desayunar
fühlen,sentir
führen,guiar
Führerausweis,permiso de conducir
Fundbüro,oficina de objetos perdidos
funktionieren,funcionar
für,para
furchtbar,terrible
sich fürchten,temer
Fußgänger,peatón
Fußgängerzone,zona peatonal
füttern,alimentar
Galerie,galería
Gang,pasillo
ganz,entero
gar,en absoluto
garantieren,garantizar
Garantie,garantía
Garderobe,guardarropa
Gas,gas
Gasthaus,posada
Gaststätte,restaurante
Gebäck,pastelería
Gebäude,edificio
geben,dar
Gebiet,zona
Gebirge,montaña
geboren werden,nacer
gebrauchen,usar
Gebrauchsanweisung,instrucciones de uso
Gebühr,tasa
Geburt,nacimiento
Gedicht,poema
Geduld,paciencia
geehrt,honrado
geeignet,adecuado
Gefahr,peligro
gefährlich,peligroso
gefallen,gustar
sich etwas gefallen lassen,dejarse
Gefängnis,cárcel
Gefühl,sentimiento
gegen,contra
Gegner,oponente
Gegend,zona
Gegensatz,contraste
Gegenstand,objeto
gegenüber,enfrente
Gehalt,sueldo
geheim,secreto
Geheimnis,secreto
gehen,ir
gehören,pertenecer
Gehsteig,acera
Geldautomat,cajero automático
Gelegenheit,oportunidad
gelingen,lograr
gelten,ser válido
gemeinsam,en común
Gemeinschaft,comunidad
gemütlich,acogedor
genau,exacto
genauso,exactamente
genehmigen,autorizar
Generation,generación
genießen,disfrutar
genug,suficiente
genügen,bastar
gerade,recto
geradeaus,todo recto
gerecht,justo
gering,escaso
gern/gerne,con gusto
gesamt,total
geschehen,suceder
geschieden,divorciado
Geschlecht,sexo
Geschmack,sabor
Geschwindigkeit,velocidad
Geschwindigkeitsbeschränkung,límite de velocidad
Gesellschaft,sociedad
Gesetz,ley
gespannt,expectante
gestern,ayer
gesund,sano
Gewalt,violencia
Gewerkschaft,sindicato
gewinnen,ganar
Agent,agente
Bombe,bomba
Gefangen,capturado
Idiot,idiota
Kampf,lucha
Mist,mierda
Pistole,pistola
Präsident,presidente
Retten,salvar
Schießen,disparar
Schlag,golpe
Tatsächlich,realmente
Überleben,sobrevivir
Verrückt,loco
Verschwinden,desaparecer
Vertrauen,confiar
Kündigen,despedir
Zweifel,zweifel
Drogen,drogas
Engel,ángel
Held,héroe
Humor,humor
Medien,medios
Medizin,medicina
Neffe,sobrino
Nichte,sobrina
Schutz,protección
Serie,serie
Sex,sexo
Show,show
Während,mientras
Besichtigen,visitar
Buchstabieren,deletrear
Aktiv,activo
Aktuell,actual
Anders,diferente
Ansehen,mirar
Anzug,traje
Apparat,aparato
Aufmachen,abrir
Aufräumen,ordenar
Aufregend,emocionante
Ausgehen,salir
Auspacken,desempacar
Ausruhen,descansar
Außerdem,además
Außerhalb,fuera de
Aussprechen,hablar
Ausstellung,exposición
Austragen,repartir
Babysitter,canguro
Backen,hornear
Band,grupo de música
Basketball,baloncesto
Basteln,hacer manualidades
Bauen,construir
Baustelle,obra
Beantworten,responder
Begründen,justificar
Beliebt,popular
Bequem,cómodo
Berg,montaña
Berühmt,famoso
Bescheid,respuesta
Beschreiben,describir
Besonders,especialmente
Bewölkt,nublado
Bibliothek,biblioteca
Blatt,hoja
Blöd,tonto
Blog,blog
Blond,rubio
Bluse,blusa
Bohne,judía
Braten,freír
Brille,gafas
Brücke,puente
Buchen,reservar
Bunt,de colores
Cafeteria,cafetería
Chatten,chatear
Club,club
Comic,cómic
Creme,crema
Dabei,con
Dafür,a favor/en contra
Dagegen,a favor/en contra
Damals,entonces
Dass,que
Datei,archivo
Denken,pensar
Deshalb,por eso
dick,gordo
Direkt,directamente
Diskutieren,discutir
Doch,sí
Dringend,urgente
Abenteuerlust,espíritu aventurero
Abhängigkeit,dependencia
Absperrung,barrera
Abstammung,origen
Achterbahn,montaña rusa
Alleinerziehende,padre/madre soltero/a
Altersunterschied,diferencia de edad
Alzheimer,alzheimer
Amtsübergabe,traspaso de poderes
Analphabet,analfabeto
Anerkennung,reconocimiento
Anforderung,requisito
Angebotserstellung,elaboración de ofertas
Angewohnheit,hábito
Anhängerschaft,seguidores
Ankunftsabend,noche de llegada
Ankündigung,anuncio
Ankündigungstext,texto de anuncio
Anwendung,aplicación
Anwesenheit,presencia
Anziehungspunkt,atracción
Arbeitgeber,empleador
Arbeitnehmende,trabajadores
Arbeitnehmenden,arbeitnehmenden
Arbeitnehmer,empleado
Arbeitnehmerrechte,derechos laborales
Arbeitsatmosphäre,ambiente de trabajo
Arbeitsaufwand,carga de trabajo
Arbeitsbedingungen,condiciones laborales
Arbeitschance,oportunidad laboral
Arbeitsformen,formas de trabajo
Arbeitsgebiet,área de trabajo
Arbeitsgericht,tribunal laboral
Arbeitsklima,clima laboral
Arbeitskraft,mano de obra
Arbeitskräfte,trabajadores
Arbeitslohn,salario
Arbeitslose,desempleados
Arbeitsmarkt,mercado laboral
Arbeitsrechtler,abogado laboralista
Arbeitssituation,situación laboral
Arbeitstag,jornada laboral
Arbeitsumfeld,entorno laboral
Arbeitsvertag,contrato de trabajo
Arbeitsweise,método de trabajo
Arbeitswelt,mundo laboral
Artensterben,extinción de especies
Asylberechtigte,refugiados
Atombombe,bomba atómica
Atomenergie,energía nuclear
Atomkraftwerk,central nuclear
Atommeiler,reactor nuclear
Aufenthaltserlaubnis,permiso de residencia
Auffassung,concepción
Aufgabengebiet,área de responsabilidad
Aufgabenteilung,división de tareas
Aufgeschlossenheit,apertura mental
Aufklärung,ilustración
Aufmerksamkeit,atención
Aufnahmeprüfung,examen de admisión
Aufregung,agitación
Aufteilung,distribución
Aufzählung,enumeración
Ausarbeitung,elaboración
Ausbeutung,explotación
Ausbildungsangebot,oferta formativa
Ausbildungsmöglichkeit,oportunidad de formación
Ausbreitung,propagación
Ausflügler,excursionista
Ausführung,ejecución
Ausgrenzung,exclusión
Auslandserfahrung,experiencia internacional
Auslandssemester,semestre en el extranjero
Ausländerquote,cuota de extranjeros
Ausreise,salida del país
Ausreisekontrolle,control de salida
Ausrüstung,equipamiento
Ausschreibung,convocatoria
Auswertung,evaluación
Auswirkung,efecto
Auswirkungen,consecuencias
Automatisierung,automatización
Automobilhersteller,fabricante de automóviles
Bachelorarbeit,trabajo de fin de grado
Bakterium,bacteria
Batterien,baterías
Beachtung,consideración
Bedeutungsnuance,matiz de significado
Bedeutungsverlust,pérdida de importancia
Bedürfnis,necesidad
Bedürftige,necesitados
Beeinträchtigung,deterioro
Befürchtung,temor
Befürworter,partidario
Begeisterung,entusiasmo
Begleitung,acompañamiento
Behandlung,tratamiento
Behandlungsmöglichkeit,opción de tratamiento
Behindertenwerkstatt,taller para discapacitados
Behinderung,discapacidad
Bekanntmachung,anuncio
Bekanntschaft,conocido
Bekleidung,ropa
Belastung,carga
Beliebtheitsskala,escala de popularidad
Benutzerkonto,cuenta de usuario
Benzinautos,coches de gasolina
Benzinmotor,motor de gasolina
Bequemlichkeit,comodidad
Beratungsagentur,agencia de consultoría
Bereicherung,enriquecimiento
Bereichsleiter,jefe de departamento
Bereitschaft,disposición
Berufsausbildung,formación profesional
Berufsbereich,campo profesional
Berufsentscheidung,decisión profesional
Berufserfahrung,experiencia profesional
Berufsorientierung,orientación profesional
Berufsorientierungsmesse,feria de orientación profesional
Berufsschule,escuela profesional
Berufswahl,elección profesional
Berufswelt,mundo profesional
Berufswunsch,aspiración profesional
Berücksichtigung,consideración
Besatzungszone,zona de ocupación
Beschwerde,queja
Beschwerdebrief,carta de reclamación
Beschäftigte,empleados
Besprechungstermin,cita de reunión
Bestandteil,componente
Bestellformular,formulario de pedido
Bestellung,pedido
Bestellvorgang,proceso de pedido
Besucherzelle,celda de visitas
Beteiligte,participantes
Beteiligung,participación
Betreffzeile,asunto
Betreiber,operador
Betriebswirtschaft,administración de empresas
Betroffene,afectados
Bettflüchter,persona que huye de la cama
Bevölkerungswachstum,crecimiento demográfico
Bewachung,vigilancia
Beweggrund,motivo
Beweglichkeit,movilidad
Bewegungsstörung,trastorno del movimiento
Bewerbungsbrief,carta de solicitud
Bewertung,evaluación
Bildungsabschluss,título educativo
Bildungschance,oportunidad educativa
Bildungserfolg,éxito educativo
Bildungserwartung,expectativa educativa
Bildungswerk,centro de formación
Blutproben,muestras de sangre
Blutzucker,azúcar en sangre
Blutzuckerspiegel,nivel de azúcar en sangre
Branchenverband,asociación sectorial
Buchbesprechung,reseña de libro
Buchhändlerin,librera
Bundesverband,asociación federal
Chancengleichheit,igualdad de oportunidades
Charakter,carácter
Computerspielsucht,adicción a los videojuegos
Container,contenedor
Cyberangriff,ciberataque
Dankbarkeit,gratitud
Danksagung,agradecimiento
Datensicherheit,seguridad de datos
Datenverarbeitung,procesamiento de datos
Datumsangabe,fecha
Dauerbrenner,clásico
Denksportaufgabe,rompecabezas
Desinteresse,desinterés
Dienstleistung,servicio
Digitalisierung,digitalización
Diskriminierung,discriminación
Diskussionsbedarf,necesidad de discusión
Dissertation,tesis doctoral
Dringlichkeit,urgencia
Durchführung,realización
Durchmesser,diámetro
Durchschnittstemperatur,temperatura media
Dürreperiode,período de sequía
Eierspeis,huevos revueltos
Eifersucht,celos
Einfachheit,simplicidad
Einkaufspassage,centro comercial
Einreichung,presentación
Einreise,entrada al país
Einsatzmöglichkeit,posibilidad de uso
Einschränkung,restricción
Einschätzung,evaluación
Einstellung,actitud
Eintragung,inscripción
Einverständnis,consentimiento
Einwegverpackung,envase desechable
Elternzeit,permiso parental
Empfindung,sensación
Entdeckung,descubrimiento
Entschädigung,compensación
Entstehung,origen
Entwicklungsland,país en desarrollo
Entwicklungsperspektive,perspectiva de desarrollo
Entzündung,inflamación
Erbrechen,vómito
Erdbevölkerung,población mundial
Ereignissen,eventos
Erfindungsreichtum,inventiva
Ergebnisse,resultados
Erkenntnis,conocimiento
Erklärungen,explicaciones
Erledigung,realización
Ermunterung,ánimo
Eroberung,conquista
Erpressung,chantaje
Erwachsenen,adultos
Erwartung,expectativa
Erwerbsarbeit,trabajo remunerado
Erwerbstätigkeit,actividad laboral
Erzeugnis,producto
Erzeugung,producción
Erziehungsfragen,cuestiones educativas
Experiment,experimento
Facharbeit,trabajo especializado
Fachbereich,área de estudio
Fachliteratur,literatura especializada
Fahrschülerin,alumna de conducción
Familienbesuch,familienbesuch
Familiengründung,familiengründung
Faulenzertum,faulenzertum
Fehlentscheidung,fehlentscheidung
Fernbeziehung,fernbeziehung
Fertigstellung,fertigstellung
Fertigung,fertigung
Festanstellung,festanstellung
Feststellung,feststellung
Feuerholz,feuerholz
Feuerwerk,feuerwerk
Fieberthermometer,fieberthermometer
Fingerspitzengefühl,fingerspitzengefühl
Firmenkultur,firmenkultur
Forschungseinrichtung,forschungseinrichtung
Forschungsteam,forschungsteam
Forumsbeitrag,forumsbeitrag
Freizeitkleidung,freizeitkleidung
Freundlichkeit,freundlichkeit
Freundschaftsanfrage,freundschaftsanfrage
Freundschaftspreis,freundschaftspreis
Frühbucherrabatt,frühbucherrabatt
Fähigkeiten,fähigkeiten
Fördermaßnahme,fördermaßnahme
Führungskraft,führungskraft
