Deutsch_grundform,spanisch_grundform
Fahrrad,bicicleta
falsch,falso
Familie,familia
Familienname,apellido
Familienstand,estado civil
Farbe,color
Fax,fax
Feier,celebración
feiern,celebrar
fehlen,faltar
Fehler,error
Fernsehen,ver la tele
fertig,listo
Feuer,fuego
Fieber,fiebre
Film,película
finden,encontrar
Firma,empresa
Fisch,pescado
Flasche,botella
Fleisch,carne
fliegen,volar
abfliegen,despegar
Abflug,despegue
Flughafen,aeropuerto
Flugzeug,avión
Formular,formulario
Foto,foto
fragen,preguntar
Frage,pregunta
Frau,mujer
frei,libre
Freizeit,tiempo libre
Fremd,extranjero
freuen,alegrarse
Freund,amigo
Früher,antes
frühstücken,desayunar
Frühstück,desayuno
Führung,visita guiada
Für,para
Fuß,pie
Fußball,fútbol
Garten,jardín
Gast,invitado
geben,dar
Geboren,nacido
Geburtsjahr,año de nacimiento
Geburtsort,lugar de nacimiento
Geburtstag,cumpleaños
gefallen,gustar
Gegen,contra
gehen,ir
gehören,pertenecer
Geld,dinero
Gemüse,verdura
Gepäck,equipaje
Gerade,recto
Geradeaus,todo recto
Gern,con gusto
Geschäft,tienda
Geschenk,regalo
Geschwister,hermanos
Gespräch,conversación
Gestern,ayer
Gestorben,muerto
Getränk,bebida
gewinnen,ganar
Glas,vaso
glauben,creer
Gleich,igual
Gleis,vía
Glück,suerte
glücklich,feliz
Glückwunsch,felicitación
Grad,grado
gratulieren,felicitar
grillen,hacer una barbacoa
groß,grande
Größe,talla
Großeltern,abuelos
Großmutter,abuela
Großvater,abuelo
Gruppe,grupo
Gruß,saludo
gültig,válido
günstig,barato
gut,bueno
Haar,pelo
haben,tener
Hähnchen,pollo
Halbpension,media pensión
Halle,vestíbulo
Hallo,hola
halten,parar
Haltestelle,parada
Hand,mano
Handy,móvil
Haus,casa
Hausaufgabe,deberes
Hausfrau,ama de casa
Hausmann,amo de casa
Heimat,patria
heiraten,casarse
heißen,llamarse
helfen,ayudar
hell,claro
Herd,cocina
Herr,señor
herzlich,cordial
Heute,hoy
Hier,aquí
Hilfe,ayuda
Hinten,detrás
Hobby,afición
hoch,alto
Hochzeit,boda
holen,ir a buscar
hören,oír
Hotel,hotel
Hund,perro
Hunger,hambre
Ich,yo
Ihr,vosotros
Immer,siempre
In,en
Information,información
international,internacional
Internet,internet
Ja,sí
Jacke,chaqueta
Jeder,cada
Jetzt,ahora
Job,trabajo
Jugendliche,joven
jung,joven
Junge,chico
Kaffee,café
Kaputt,roto
Karte,tarjeta
Kreditkarte,tarjeta de crédito
Kartoffel,patata
Kasse,caja
kaufen,comprar
Kein,ningún
kennen,conocer
kennenlernen,conocer a alguien
Kind,niño
Kindergarten,guardería
Kino,cine
Kiosk,quiosco
klar,claro
Kleidung,ropa
klein,pequeño
kochen,cocinar
Koffer,maleta
Kollege,colega
kommen,venir
können,poder
Konto,cuenta
Kopf,cabeza
kosten,costar
krank,enfermo
Küche,cocina
Kuchen,pastel
Kugelschreiber,bolígrafo
Kühlschrank,nevera
kulturell,cultural
kümmern,cuidar
Kunde,cliente
Kurs,curso
kurz,corto
lachen,reír
Laden,tienda
Land,país
lang,largo
Lange,mucho tiempo
langsam,despacio
laufen,correr
laut,alto
leben,vivir
Lebensmittel,alimento
ledig,soltero
legen,poner
Lehrer,profesor
leicht,fácil
Leider,lamentablemente
leise,bajo
lernen,aprender
lesen,leer
Letzt,último
Leute,gente
Licht,luz
Lieb,querido
lieben,amar
Lieber,preferiblemente
Lieblings-,favorito
Lied,canción
liegen,estar tumbado
Links,izquierda
Lokal,bar
Lösung,solución
lustig,divertido
machen,hacer
Mädchen,chica
Man,se
Mann,hombre
männlich,masculino
Maschine,máquina
Meer,mar
Mehr,más
Mein,mi
Meist,la mayoría
Mensch,persona
mieten,alquilar
Miete,alquiler
Milch,leche
Mit,con
mitbringen,traer consigo
mitkommen,acompañar
mitmachen,participar
mitnehmen,llevar consigo
Mitte,centro
Möbel,muebles
möchten,querer
mögen,gustar
möglich,posible
Moment,momento
Morgen,mañana
müde,cansado
Mund,boca
müssen,deber
Mutter,madre
Nach,a
Nächst,próximo
Name,nombre
nehmen,coger
Nein,no
neu,nuevo
Nicht,no
Nichts,nada
Nie,nunca
Noch,todavía
normal,normal
Nummer,número
Nur,solo
Oben,arriba
Obst,fruta
Oder,o
öffnen,abrir
Geöffnet,abierto
Oft,a menudo
Ohne,sin
Öl,aceite
Oma,abuela
Opa,abuelo
Ordnung,orden
Ort,lugar
Papier,papel
Papiere,documentos
Partner,pareja
Party,fiesta
Pass,pasaporte
Pause,pausa
Plan,plan
Platz,plaza
Polizei,policía
Pommes,patatas fritas
Frites,patatas fritas
Post,correos
Postleitzahl,código postal
Praktikum,prácticas
Praxis,consulta
Preis,precio
Problem,problema
Prospekt,folleto
Prüfung,examen
pünktlich,puntual
Rad,rueda
rauchen,fumar
Raum,habitación
Rechnung,factura
Rechts,derecha
regnen,llover
Regen,lluvia
Reis,arroz
reisen,viajar
Reise,viaje
Reisebüro,agencia de viajes
Reiseführer,guía de viaje
reparieren,reparar
Reparatur,reparación
Restaurant,restaurante
Rezeption,recepción
richtig,correcto
riechen,oler
ruhig,tranquilo
Saft,zumo
sagen,decir
Salat,ensalada
Salz,sal
Satz,frase
S-bahn,tren de cercanías
Schalter,ventanilla
scheinen,brillar
schicken,enviar
Schild,señal
Schinken,jamón
schlafen,dormir
schlecht,malo
schließen,cerrar
Geschlossen,cerrado
Schluss,final
Schlüssel,llave
schmecken,saber (de sabor)
schnell,rápido
Schon,ya
schön,bonito
Schrank,armario
schreiben,escribir
Schuh,zapato
Schule,escuela
Schüler,alumno
schwer,difícil
Schwester,hermana
schwimmen,nadar
Schwimmbad,piscina
See,lago
sehen,ver
Sehenswürdigkeit,monumento
Sehr,muy
sein,ser
Seit,desde
selbstständig,autónomo
Sich,se
Sie,ella
sitzen,estar sentado
So,así
Sofa,sofá
Sofort,inmediatamente
Sohn,hijo
sollen,deber
Sonne,sol
spät,tarde
Später,más tarde
Speisekarte,carta
Spielen,jugar
Sport,deporte
Sprache,idioma
sprechen,hablar
Stadt,ciudad
stehen,estar de pie
Stelle,puesto
stellen,colocar
Stock,piso
Straße,calle
Straßenbahn,tranvía
studieren,estudiar
Studium,estudios
Student,estudiante
Stunde,hora
suchen,buscar
tanzen,bailar
Tasche,bolso
Taxi,taxi
Tee,té
Teil,parte
telefonieren,telefonear
Telefon,teléfono
Termin,cita
Test,prueba
teuer,caro
Text,texto
Thema,tema
Ticket,billete
Tisch,mesa
Tochter,hija
Toilette,baño
Tomate,tomate
Tot,muerto
treffen,encontrarse
Treppe,escalera
trinken,beber
Tschüss,adiós
tun,hacer
Über,sobre
übernachten,pernoctar
überweisen,transferir
Uhr,reloj
Um,a las
umziehen,mudarse
Und,y
Unser,nuestro
Unten,abajo
Unter,debajo
Unterricht,clase
unterschreiben,firmar
Unterschrift,firma
Urlaub,vacaciones
Vater,padre
Verboten,prohibido
verdienen,ganar
Verein,club
verheiratet,casado
verkaufen,vender
Verkäufer,vendedor
vermieten,alquilar
Vermieter,arrendador
verstehen,entender
Verwandte,pariente
Viel,mucho
Vielleicht,quizás
Von,de
Vor,delante de
Vorname,nombre
Vorsicht,cuidado
vorstellen,presentar
Vorwahl,prefijo
wandern,hacer senderismo
Wann,cuándo
warten,esperar
Warum,por qué
Was,qué
waschen,lavar
Wasser,agua
Weh,doler
weiblich,femenino
Wein,vino
Weit,lejos
Weiter,continuar
Welch,cuál
Welt,mundo
wenig,poco
Wer,quién
werden,llegar a ser
Wetter,tiempo
wichtig,importante
Wie,cómo
wiederholen,repetir
Wiederhören,hasta luego (por teléfono)
Wiedersehen,hasta la vista
Wieviel,cuánto
Willkommen,bienvenido
Wind,viento
Wir,nosotros
wissen,saber
Wo,dónde
Woher,de dónde
Wohin,a dónde
wohnen,vivir
Wohnung,apartamento
wollen,querer
Wort,palabra
Wunderbar,maravilloso
zahlen,pagar
Zeit,tiempo
Zurzeit,actualmente
Zeitung,periódico
Zigarette,cigarrillo
Zimmer,habitación
Zoll,aduana
Zu,a
zufrieden,satisfecho
Zug,tren
Zurück,de vuelta
Zusammen,juntos
Zwischen,entre
Ach,ay
Bereit,listo
Cool,genial
Eben,justo
Fast,casi
Gar,nada
Genauso,igual
Gott,Dios
Hey,hola
Hin,hacia
Kaum,apenas
Mama,mamá
Mr,Sr.
Mrs,Sra.
Na,bueno
Ok,vale
Okay,vale
Papa,papá
Plötzlich,de repente
Stimmen,estar bien
Toll,genial
Überraschen,sorprender
Vergessen,olvidar
Verlieren,perder
Wahr,verdadero
Weinen,llorar
Wohl,probablemente
Ziemlich,bastante
Endlich,finalmente
Längst,hace tiempo
Tja,bueno
passieren,ocurrir
Sorry,lo siento
Ball,pelota
Eis,hielo
Fenster,ventana
Ferien,vacaciones
Fest,fiesta
Gesicht,cara
Büro,oficina
Euro,euro
Hals,hals
Hose,hose
Idee,idee
Jahr,jahr
Luft,luft
Markt,markt
Nase,nase
Ohr,ohr
Sache,sache
Tür,tür
Zahl,número
Zucker,zucker
Abend,tarde
Abendessen,cena
Alles,todo
Art,tipo
Blumen,flores
Ding,cosa
Herz,corazón
Katze,gato
Musik,música
Onkel,tío
Paar,par
Park,parque
Person,persona
Schlaf,sueño
Seite,lado
Spiel,juego
Strasse,calle
Tag,día
Tante,tía
Autos,coches
Babys,bebés
Fotos,fotos
Lehrerin,lehrerin
Studentin,studentin
